Attacker_Strength,Knockback_Distance_Squares,Attack_Result_Required,Additional_Effects,Environmental_Interaction,Chain_Knockback,Falling_Damage,Special_Rules
Material_Adamantium,Material Strength: Shift X (100-124),Destroyed by Class 1000+ strength,Virtually indestructible molecular bonds,Reflects knockback force back at attacker,Near-perfect resistance,Causes energy reflection damage,Legendary indestructible material
Collision_Character,Collision Type: Character vs Character,Both take damage,Impact damage based on relative mass,Both characters affected by collision,Possible chain knockback,Both take collision damage,Heavier character takes less damage
Collision_Object,Collision Type: Character vs Object,Character takes damage; object may break,Object resistance determines if it breaks,Character bounces off or goes through,Object may become projectile,Character takes material-based damage,Mass and material determine outcome
Collision_Fall,Collision Type: Falling Impact,Character takes falling damage,Damage increases with height and surface hardness,Ground surface affects damage,No additional knockback,1d6 per 10 feet fallen,Soft surfaces reduce damage
Collision_Multi,Collision Type: Multiple Character Chain,All involved take damage,Chain reaction affects multiple targets,Crowd control through positioning,Continuing knockback chain,All participants take proportional damage,Tactical positioning becomes critical
Power_Knockback_Super_Strength,Power Enhancement: Super Strength,Knockback distance doubled,Super Strength enhances all knockback attacks,Environmental destruction increased,Chain effects enhanced,Falling damage increased,Power level affects magnitude
Power_Knockback_Telekinesis,Power Enhancement: Telekinesis,Knockback can change direction mid-flight,Telekinetic control over knockback trajectory,Can avoid environmental obstacles,Can redirect into specific targets,Controlled landing possible,Mental concentration required
Power_Knockback_Gravity,Power Enhancement: Gravity Control,Knockback direction completely controllable,Gravity manipulation affects knockback physics,Can knock targets upward or sideways,Can create multi-directional effects,Can eliminate or enhance falling damage,Ultimate knockback control
Defense_Super_Durability,Defense: Super Durability,Knockback distance reduced by half,Enhanced durability reduces knockback effects,Takes less environmental damage,Harder to chain knock with others,Reduced falling damage,Resistance scales with durability level
Defense_Flight,Defense: Flight Power,Can attempt to arrest knockback,Flying characters can try to stop mid-knockback,Can avoid ground collision,Can escape chain knockback,No falling damage if flight successful,Requires successful flight roll to negate
Defense_Immovable_Object,Defense: Immovable,Immune to knockback under certain conditions,Some powers or abilities prevent knockback entirely,Environmental destruction still occurs around character,Others can still be knocked into immovable character,No personal knockback but impact damage possible,Situational immunity based on power type
