Armor_Name,Armor_Type,Damage_Reduction,Max_Armor_Points,Weight_Class,Cost_Level,Repair_Difficulty,Protection_Against,Bypassed_By,Special_Properties,Requirements,Availability,Repair_Materials,Repair_Time_Hours,Description
Environmental Suit,Physical,5,30,Medium,Medium,Moderate,Chemicals; Radiation; Biological,Physical attacks; Energy,Life support; Environmental sealing,None,Industrial/Scientific,Sealed materials; Air filters,3,Hazmat protection for dangerous environments
Stealth Suit,Physical,8,25,Light,High,Hard,Detection; Sensors,All damage types,Invisibility to sensors,Stealth skill,Covert Ops,Advanced polymers; Electronics,6,Suit providing electronic and visual camouflage
Underwater Gear,Physical,10,40,Medium,Medium,Moderate,Pressure; Water damage,Energy; Psychic,Underwater operation,Swimming skill,Marine Equipment,Neoprene; Pressure seals,4,Diving suit for underwater operations
Flight Suit,Physical,6,20,Light,Medium,Moderate,Wind; Debris,Energy; Psychic,Aerial maneuverability bonus,Flight power or Pilot skill,Aerospace Equipment,Flight-rated materials; Safety systems,3,Specialized gear for aerial operations
Cybernetic Implant Armor,Physical,20,65,Internal,Very High,Extreme,Physical; Internal damage,EMP; Hacking,Integrated with body,Cybernetic Enhancement,Black Market/Ultra-Tech,Biocompatible alloys; Neural interfaces,18,Armor integrated into cybernetic enhancements
Nano-mesh Undersuit,Physical,10,45,Light,High,Very Hard,Cutting; Piercing; Abrasion,Energy; EMP,Flexible; Nearly invisible,None,Ultra-Tech,Nanomaterials; Molecular assemblers,14,Microscopic armor fibers woven into clothing
Adaptive Camouflage Armor,Physical,15,55,Medium,Very High,Very Hard,Detection; Physical damage,Energy; Psychic,Chameleon surface adaptation,Stealth skill,Ultra-Tech,Adaptive materials; Sensor arrays,12,Armor that adapts to surroundings for camouflage
Kinetic Redistributor Vest,Physical,28,95,Medium,Ultra High,Extreme,Kinetic; Impact; Explosions,Energy; Psychic,Spreads impact across entire surface,Physics Mastery,Ultra-Tech,Kinetic absorbers; Distribution matrix,16,Vest that redistributes kinetic energy
Magnetic Field Armor,Energy,24,70,Medium,Very High,Very Hard,Metal projectiles; Electromagnetic,Physical non-metal; Psychic,Deflects metal objects,Electromagnetic powers,High Tech,Magnetic field generators; Superconductors,10,Armor using magnetic fields for protection
Sonic Dampening Suit,Physical,16,50,Medium,High,Hard,Sound; Sonic; Vibration,Energy; Psychic,Sound absorption and cancellation,None,High Tech,Sound-absorbing materials; Dampeners,6,Suit designed to absorb and cancel sound waves
Cryo-protection Gear,Physical,12,40,Medium,Medium,Moderate,Cold; Ice; Freezing,Heat; Energy; Psychic,Temperature regulation,None,Arctic Equipment,Insulation; Heating elements,4,Specialized gear for extreme cold environments
Thermal Dispersal Armor,Physical,14,45,Medium,High,Hard,Heat; Fire; Thermal,Cold; Psychic,Heat distribution and cooling,None,High Tech,Heat sinks; Cooling systems,5,Armor designed to dissipate heat and thermal energy
Psi-Shield Helmet,Mystical,8,25,Light,High,Moderate,Psychic; Mental; Telepathy,Physical; Energy,Mental protection only,None,Psychic Defense Specialists,Psi-resistant alloys; Mental shielding,4,Helmet specifically designed to block psychic attacks
Anti-Gravity Harness,Energy,6,30,Light,Very High,Very Hard,Falling; Gravity manipulation,Physical; Energy; Psychic,Personal gravity control,Flight power recommended,Ultra-Tech,Gravity generators; Control systems,12,Harness providing personal gravity manipulation
Dimensional Phasing Vest,Mystical,22,60,Light,Ultra High,Extreme,Dimensional; Phase attacks,Physical when solid,Can phase with attacks,Intangible power,Ultra-Rare,Phase-stable materials; Dimensional regulators,18,Vest that can phase between dimensions
Temporal Stabilizer Suit,Mystical,30,85,Medium,Ultra High,Extreme,Time manipulation; Temporal,Reality-based attacks,Temporal existence protection,Time Travel power,Ultra-Rare,Temporal-stable materials; Chronometers,24,Suit maintaining stable existence across time
Alien Symbiote Armor,Physical,Variable,Variable,Variable,Ultra High,Special,Adapts to threats,Symbiote-specific weaknesses,Living armor that adapts,Symbiotic origin,Alien Contact,Symbiote care; Specialized nutrients,Special,Living alien organism providing protection
Prototype Exo-frame,Physical,32,150,Heavy,Ultra High,Extreme,All physical damage,EMP; Energy overload,Strength enhancement; Integrated weapons,Engineering + Heavy Weapons,Prototype Only,Advanced materials; Cutting-edge tech,20,Experimental powered armor with integrated systems
Divine Protection Blessing,Mystical,40,Infinite,None,Ultra High,Special,All supernatural; Divine protection,Moral corruption removes protection,Faith-based invulnerability,Divine favor required,Divine Intervention,Prayer; Atonement,Special,Divine blessing providing supernatural protection
