Faction_A,Faction_B,Relationship_Status,Relationship_Level,Historical_Basis,Current_Tensions,Cooperation_Areas,Conflict_Points,Player_Benefits,Player_Penalties,Dynamic_Events_Possible
Allied_Nations_NATO,US_FIST_Allies,NATO_Alliance,+3,Military alliance; Democratic values; Mutual defense,Burden sharing; Strategic autonomy; Different priorities,Military cooperation; Intelligence sharing; Technology development,Defense spending; Strategic autonomy; Different threat priorities,NATO cooperation; European operations authority,Limited autonomy; Alliance obligations,Joint exercises; Intelligence sharing; Burden sharing disputes
Allied_Nations_Commonwealth,India_Establishment24_Allies,Commonwealth_Cooperation,+2,Historical ties; Democratic institutions; Cultural connections,Post-colonial tensions; Economic competition; Different priorities,Democratic governance; Cultural exchange; Educational cooperation,Historical grievances; Economic rivalry; Development priorities,Commonwealth cooperation; Cultural exchange,Historical sensitivity requirements,Commonwealth games; Cultural festivals; Development cooperation
Allied_Nations_SCO,China_Collective_Allies,Shanghai_Cooperation_Organization,+2,Regional security; Economic cooperation; Anti-Western alliance,Different development levels; Russian competition; Central Asian influence,Security cooperation; Economic development; Anti-Western coordination,Russian influence; Development disparities; Regional competition,Regional security cooperation; Economic benefits,Russian competition; Development obligations,Security exercises; Economic projects; Regional tensions
Allied_Nations_African_Union,Nigeria_Adaptive_Allies,African_Union_Leadership,+3,Continental unity; Pan-African ideology; Resource development,Economic disparities; Political differences; External influence,Continental development; Resource sharing; Political coordination,Economic inequality; Political systems; External exploitation,African operations authority; Continental resources,Continental obligations; External pressure,Continental summits; Development projects; External negotiations
Neutral_Nations_EU,All_Factions,European_Union_Neutrality,+0,European integration; Diplomatic neutrality; Economic cooperation,US security dependence; Chinese economic ties; Different values,Economic cooperation; Diplomatic mediation; Cultural exchange,Strategic autonomy; Economic competition; Value differences,European operations with diplomatic protocols,Diplomatic incident risk; Economic restrictions,EU-US summits; EU-China economic deals; Diplomatic mediation
Neutral_Nations_ASEAN,Regional_Balance,Southeast_Asian_Neutrality,+0,Regional autonomy; Economic development; Strategic balance,Great power competition; Territorial disputes; Economic dependence,Economic cooperation; Regional stability; Cultural exchange,Great power pressure; Territorial conflicts; Economic dependency,Regional cooperation; Economic access,Great power pressure; Territorial complications,ASEAN summits; Economic cooperation; Territorial negotiations
Hostile_Nations_Rogue_States,All_Factions,Rogue_State_Opposition,-3,LSW program opposition; International isolation; Authoritarian governance,LSW ban ideology; Resource competition; Regime survival,None - actively oppose LSW programs,LSW existence; Democratic values; International law,None - active opposition,All operations face hostility; Legal prosecution risk,Terrorist support; LSW hunting; International incidents
Enemy_Organizations_Anti_LSW,All_Factions,Anti_LSW_Movement,-4,LSW fear; Religious extremism; Human purity ideology,LSW existence threatens human autonomy and religious beliefs,None - seeks LSW elimination,All LSW activity; Power enhancement; Government cooperation,None - seeks player destruction,Active hunting; Assassination attempts; Legal warfare,Terrorist attacks; Assassination plots; Legal challenges; Public protests
Criminal_Networks_Global,All_Factions,Criminal_Opposition,-2,LSW law enforcement threatens criminal operations,LSW authorities disrupt criminal enterprises,Black market; Information trading; Covert operations,Law enforcement; Government cooperation; Legal authority,Black market access; Criminal intelligence,Criminal retaliation; Legal complications,Criminal wars; Black market deals; Corruption scandals
Alien_Factions_Grays,All_Factions,Alien_Benefactor,+1,Gray aliens created LSW program to help humanity defend,Preparing humanity for cosmic threat while maintaining secrecy,LSW power enhancement; Cosmic threat intelligence; Advanced technology,Human independence; Government secrecy; Cosmic responsibility,Alien technology access; Cosmic threat intelligence,Alien agenda complications; Government secrecy requirements,First contact; Technology sharing; Cosmic revelations
Alien_Factions_Invaders,All_Factions,Cosmic_Threat,-5,Incoming invasion force seeking human genocide,2472-day countdown to invasion represents existential threat,None - seeks human extinction,Human existence; LSW development; Planetary defense,None - ultimate enemy,Invasion preparation; Cosmic warfare,Advance scouts; Reality attacks; Timeline manipulation; Cosmic warfare
Time_Travelers_Future,All_Factions,Temporal_Complications,Variable,Future timeline visitors with knowledge of outcomes,Timeline stability vs future intervention; Paradox prevention,Future intelligence; Timeline guidance; Cosmic threat preparation,Timeline integrity; Paradox creation; Future interference,Future knowledge access; Timeline guidance,Timeline destabilization; Paradox complications,Time travel missions; Future warnings; Paradox resolution
Cosmic_Entities,Level_5_Players,Universal_Authority,+5,Cosmic-level LSWs granted universal authority for reality threats,Reality stability vs individual faction interests,Reality protection; Universal threat response; Cosmic balance,Individual faction loyalty; National interests; Reality manipulation,Universal authority; Reality manipulation immunity,Universal responsibility; Reality stability requirements,Reality crises; Universal threats; Cosmic intervention
Corporate_Interests,Business_Career_Players,Economic_Influence,Variable,Corporate power vs government authority in LSW regulation,Corporate profit vs public safety; Regulation vs innovation,Economic resources; Technology development; Legal influence,Government regulation; Public safety; Corporate accountability,Corporate resources; Economic influence,Government oversight; Public accountability,Corporate scandals; Economic warfare; Regulatory battles
Religious_Organizations,Spiritual_Enhanced_Players,Spiritual_Authority,Variable,Religious authority vs secular government in LSW affairs,Spiritual vs scientific LSW understanding; Religious freedom vs public safety,Spiritual guidance; Cultural preservation; Moral authority,Secular governance; Scientific approach; Religious extremism,Religious authority; Spiritual protection,Religious extremism; Secular conflict,Religious conflicts; Spiritual crises; Moral dilemmas
Academic_Institutions,High_Education_Players,Research_Cooperation,+1,Academic research vs government/corporate secrecy,Academic freedom vs national security; Research ethics vs practical needs,Research collaboration; Educational advancement; Scientific progress,Government classification; Corporate secrecy; Military applications,Research access; Educational resources,Academic restrictions; Ethical complications,Research breakthroughs; Academic conferences; Ethical debates
Media_Organizations,Performance_Arts_Players,Information_Control,Variable,Media freedom vs government/corporate control,Information transparency vs security; Public right to know vs safety,Public information; Cultural influence; Social awareness,Government censorship; Corporate influence; National security,Media access; Public influence,Censorship; Legal restrictions; Corporate pressure,Media wars; Information leaks; Public relations battles
International_Law_Enforcement,All_Factions,Legal_Authority,Variable,International law vs national sovereignty in LSW regulation,Global governance vs national autonomy; Legal jurisdiction vs practical enforcement,Legal coordination; International cooperation; Justice standardization,National sovereignty; Legal jurisdiction; Enforcement capability,International legal authority; Global cooperation,Jurisdictional conflicts; Legal complications,International courts; Legal conflicts; Jurisdiction disputes
Underground_Resistance,All_Factions,Shadow_Opposition,-1,Anti-government LSW groups seeking autonomy from state control,Government control vs LSW autonomy; Registration vs freedom,Underground networks; Anti-establishment intelligence; Autonomous operations,Government authority; Legal compliance; Public safety,Underground access; Autonomous operations,Government persecution; Legal prosecution,Underground conflicts; Autonomy movements; Anti-registration campaigns
Public_Opinion,All_Factions,Civilian_Relations,Variable,Public support vs fear of LSW operations,LSW protection vs LSW danger; Hero worship vs fear,Public support; Civilian cooperation; Hero status,Public fear; Media criticism; Legal restrictions,Public support bonuses; Civilian cooperation,Public backlash; Media attacks,Public relations campaigns; Hero worship; Fear campaigns
Economic_Powers,Business_Players,Market_Control,Variable,Economic influence vs government regulation in LSW affairs,Corporate power vs democratic governance; Profit vs public safety,Economic resources; Market influence; Corporate technology,Government regulation; Public accountability; Economic justice,Corporate backing; Economic resources,Regulatory oversight; Public accountability,Corporate takeovers; Market manipulation; Economic warfare
Environmental_Groups,All_Factions,Ecological_Protection,Variable,Environmental protection vs LSW operations environmental impact,Ecological preservation vs security operations; Climate change vs LSW warfare,Environmental research; Ecological protection; Climate cooperation,Environmental damage; Ecological disruption; Climate impact,Environmental cooperation; Ecological intelligence,Environmental activism; Legal challenges,Environmental disasters; Climate activism; Ecological protection
