Object_ID,Object_Name,Object_Category,Weight_Pounds,Damage_Base,Damage_Type,Throw_Range_Modifier,Accuracy_Modifier,Area_Effect,Special_Properties,Destruction_Threshold,Availability_Rarity,Cost_To_Replace,Legal_Consequences
ENV_013,Wooden Chair,Furniture,15,6,BLUNT,1.2,+1CS,Single target,Breaks easily on impact,Poor (10),Indoor common,$100,Low - furniture replacement
ENV_014,Office Desk,Furniture,80,18,BLUNT,0.8,-1CS,Single target,Contains important papers,Typical (20),Office common,$300,Moderate - office property + document destruction
ENV_015,Restaurant Table,Furniture,40,14,BLUNT,1.0,-0CS,Single target,Disrupts dining,Typical (20),Restaurant common,$200,Moderate - business disruption
ENV_016,Refrigerator,Appliance,250,30,BLUNT,0.6,-2CS,Single target,Food spoilage,Good (30),Residential common,$1200,Moderate - expensive appliance
ENV_017,Television,Electronics,45,12,BLUNT + ELECTRICAL,1.0,-0CS,Single target,Electrical components,Typical (20),Indoor common,$800,Moderate - electronics + electrical hazard
ENV_018,Vending Machine,Commercial,650,45,BLUNT,0.3,-3CS,Single target,Contains money and products,Excellent (40),Commercial common,$3000,High - commercial property + theft
ENV_019,ATM Machine,Financial,1200,60,BLUNT,0.2,-4CS,Single target,Contains money; triggers alarms,Excellent (40),Financial areas,$15000,Very High - financial institution + theft charges
ENV_020,Concrete Barrier,Structural,800,50,BLUNT,0.3,-2CS,Single target,Structural/safety barrier,Excellent (40),Construction/highway,$500,High - safety infrastructure
ENV_021,Steel Beam,Construction,2000,80,BLUNT,0.1,-4CS,Line area,Structural building component,Incredible (60),Construction only,$2000,Extreme - building structural integrity
ENV_022,Dumpster,Waste Management,400,35,BLUNT,0.4,-2CS,Single target,Contains garbage and smell,Good (30),Commercial/residential,$800,Moderate - waste management + sanitation
ENV_023,Parking Meter,Street Furniture,50,16,BLUNT,0.9,-0CS,Single target,Contains coins,Good (30),Urban streets,$400,Moderate - city property + revenue loss
ENV_024,Street Light,Utility,200,40,BLUNT + ELECTRICAL,0.6,-2CS,Single target,Electrical hazard; darkness,Excellent (40),Streets everywhere,$1500,High - city infrastructure + electrical danger
ENV_025,Power Line,Utility,100,25 + ELECTRICAL,ELECTRICAL,0.8,-1CS,Line area,Extreme electrical danger,Remarkable (50),Utility areas,$5000,Extreme - electrical grid + electrocution risk
ENV_026,Tree (Small),Natural,500,20,BLUNT,0.4,-2CS,Single target,Living organism,Good (30),Parks/suburban,$0,Low - environmental damage
ENV_027,Tree (Large),Natural,5000,70,BLUNT,STR 40+ required,-4CS,Area 3x3,Massive living organism,Remarkable (50),Parks/forests,$0,Moderate - significant environmental damage
ENV_028,Boulder,Natural,1000,65,BLUNT,0.2,-3CS,Single target,Natural geological feature,Incredible (60),Mountain/quarry areas,$0,Low - natural object
ENV_029,Manhole Cover,Utility,100,22,BLUNT,0.8,-1CS,Single target,Covers dangerous sewer access,Excellent (40),Urban streets,$300,High - utility access + safety hazard
ENV_030,Police Car,Emergency Vehicle,4200,60,BLUNT,0.15,-3CS,Area 2x2,Government property; may have weapons,Remarkable (50),Emergency response,$50000,Extreme - government property + emergency service disruption
ENV_031,Ambulance,Emergency Vehicle,6000,65,BLUNT,0.1,-4CS,Area 2x3,Medical equipment; may have patients,Remarkable (50),Medical areas,$150000,Extreme - medical service + patient endangerment
ENV_032,Fire Truck,Emergency Vehicle,35000,140,BLUNT,STR 65+ required,-5CS,Area 4x6,Fire fighting equipment,Incredible (60),Fire stations,$750000,Ultimate - emergency service + public safety
ENV_033,Laptop Computer,Electronics,5,4,BLUNT + ELECTRICAL,1.5,+1CS,Single target,Contains data,Feeble (5),Office everywhere,$1000,Low - personal/business property
ENV_034,Server Rack,Electronics,200,28,BLUNT + ELECTRICAL,0.6,-2CS,Single target,Critical data storage,Good (30),Data centers,$25000,Very High - data loss + business disruption
ENV_035,Gas Pump,Hazardous,300,40 + EXPLOSION,BLUNT + FIRE,0.5,-2CS,Area 4x4,Gasoline explosion risk,Excellent (40),Gas stations,$8000,Extreme - explosion + fire hazard
ENV_036,Propane Tank,Hazardous,50,30 + EXPLOSION,BLUNT + FIRE,0.9,-1CS,Area 3x3,Major explosion risk,Good (30),Industrial/BBQ areas,$200,Extreme - explosion danger
ENV_037,Chemical Barrel,Hazardous,200,35 + CHEMICAL,BLUNT + POISON,0.6,-2CS,Area 3x3,Toxic chemical release,Excellent (40),Industrial only,$2000,Extreme - environmental contamination
ENV_038,Nuclear Waste Container,Hazardous,1000,50 + RADIATION,BLUNT + RADIATION,0.2,-4CS,Area 5x5,Radiation contamination,Incredible (60),Nuclear facilities only,$1000000,Ultimate - environmental disaster
ENV_039,Statue (Small),Decorative,150,24,BLUNT,0.7,-1CS,Single target,Cultural/historical value,Good (30),Parks/plazas,$5000,Moderate - cultural property
ENV_040,Statue (Large),Decorative,2000,85,BLUNT,0.1,-4CS,Area 2x2,Major cultural significance,Incredible (60),Major landmarks,$500000,Very High - cultural heritage destruction
ENV_041,Fountain,Water Feature,800,45,BLUNT,0.3,-2CS,Area 2x2,Water creates slippery area,Excellent (40),Parks/plazas,$15000,High - civic property + safety hazard
ENV_042,Bench,Park Furniture,60,16,BLUNT,0.9,-0CS,Single target,Public seating,Typical (20),Parks everywhere,$150,Low - public property
ENV_043,Picnic Table,Park Furniture,120,20,BLUNT,0.7,-1CS,Single target,Family recreation,Typical (20),Parks/recreation,$300,Low - recreation property
ENV_044,Playground Equipment,Recreational,300,25,BLUNT,0.5,-2CS,Single target,Children's safety equipment,Good (30),Playgrounds,$2000,High - child safety equipment
ENV_045,Hot Dog Cart,Vendor,200,28,BLUNT,0.6,-2CS,Single target,Business livelihood,Good (30),Urban commercial,$3000,High - small business destruction
ENV_046,News Stand,Commercial,80,18,BLUNT,0.8,-1CS,Single target,Information distribution,Typical (20),Urban commercial,$500,Moderate - business + information access
ENV_047,Phone Booth,Communication,400,35,BLUNT,0.4,-2CS,Single target,Emergency communication,Excellent (40),Urban (rare),$2000,High - emergency communication infrastructure
ENV_048,Construction Cone,Safety,8,3,BLUNT,1.3,+1CS,Single target,Safety marker,Poor (10),Construction everywhere,$20,Low - safety equipment
ENV_049,Scaffolding Pole,Construction,25,12,BLUNT,1.1,-0CS,Line area,Construction safety,Typical (20),Construction sites,$100,Moderate - construction safety + worker endangerment
ENV_050,Steel Girder,Construction,5000,95,BLUNT,STR 40+ required,-4CS,Line area,Building structural component,Incredible (60),Construction only,$5000,Extreme - building structural integrity
Object_Category_Street_Furniture,Category Info,Objects found on city streets,Weight range: 25-150 lbs,Generally available in urban environments,Low to moderate legal consequences,Common availability,Standard throwing mechanics apply,Public property destruction charges
Object_Category_Personal_Vehicles,Category Info,Privately owned transportation,Weight range: 30-5500 lbs,High legal consequences for destruction,Common in most environments,Strength requirements for larger vehicles,Theft charges in addition to destruction
Object_Category_Large_Vehicles,Category Info,Commercial and public transportation,Weight range: 25000-35000 lbs,Extreme legal and safety consequences,Rare availability requiring specific locations,Very high strength requirements (STR 60-70+),Public safety and transportation disruption
Object_Category_Furniture,Category Info,Indoor furnishings and fixtures,Weight range: 15-250 lbs,Low to moderate replacement costs,Common in indoor environments,Easy throwing for most strength levels,Property destruction and business disruption
Object_Category_Electronics,Category Info,Electronic devices and equipment,Weight range: 5-200 lbs,Data loss and electrical hazard potential,Common in modern environments,Electrical damage in addition to blunt force,Technology destruction and data loss charges
Object_Category_Appliances,Category Info,Household and commercial appliances,Weight range: 45-650 lbs,Expensive replacement costs,Indoor commercial and residential,Moderate strength requirements,Expensive property destruction
Object_Category_Hazardous_Materials,Category Info,Dangerous substances and containers,Weight range: 50-1000 lbs,Extreme legal and environmental consequences,Restricted to industrial and specialized locations,Environmental contamination potential,Environmental crimes and mass casualty charges
Object_Category_Emergency_Vehicles,Category Info,Police fire and medical vehicles,Weight range: 4200-35000 lbs,Ultimate legal consequences,Emergency response areas,Disrupts public safety services,Government property + public safety disruption
Object_Category_Natural_Objects,Category Info,Trees rocks and natural features,Weight range: 100-5000 lbs,Environmental damage considerations,Outdoor and natural environments,No legal ownership issues for most,Environmental protection law violations possible
Object_Category_Utility_Infrastructure,Category Info,Power lines pipes and utility equipment,Weight range: 50-200 lbs,Infrastructure disruption consequences,Utility corridors and service areas,Affects essential city services,Infrastructure destruction + service disruption
Throwing_Strength_Requirements,Strength Scaling,Objects require minimum strength to throw effectively,Strength requirement calculated as Object_Weight / 100 (minimum),Characters below strength requirement cannot throw object effectively,Strength determines throwing effectiveness and range,Higher strength allows for heavier objects and greater range
Throwing_Range_Calculation,Range Mechanics,Throwing range based on strength and object weight,"Base_Range = (Character_STR - Object_Weight/50) × Range_Modifier",Heavier objects require more strength for same range,Range decreases as object weight approaches strength limit,Maximum range achieved when strength greatly exceeds object weight
Throwing_Accuracy_Penalties,Accuracy Mechanics,Heavier objects harder to throw accurately,Accuracy penalty increases with object weight relative to thrower strength,Very heavy objects get significant accuracy penalties,Accuracy penalties range from +1CS (light) to -5CS (maximum weight),Perfect accuracy requires strength significantly exceeding object weight
Throwing_Damage_Scaling,Damage Mechanics,Thrown object damage enhanced by thrower strength,Damage increases with thrower strength beyond base object damage,"Thrown_Damage = Object_Base_Damage + (STR_Bonus/5)",High strength characters make improvised weapons devastatingly effective,Thrown objects become more dangerous with stronger throwers
Environmental_Availability_Urban,Location Availability,Objects commonly found in urban environments,Cars; buses; street furniture; electronics; commercial items,High density of throwable objects,Urban combat has most improvised weapon options,Cities provide abundant throwing ammunition
Environmental_Availability_Industrial,Location Availability,Objects found in industrial zones,Heavy machinery; chemical containers; steel components; vehicles,Dangerous but powerful improvised weapons,Industrial combat has most dangerous throwing options,Factories provide high-damage high-risk throwing options
Environmental_Availability_Residential,Location Availability,Objects found in residential areas,Furniture; appliances; personal vehicles; garden equipment,Moderate availability with personal property implications,Suburban combat has moderate throwing options with legal complications,Homes provide throwing options but with personal property legal issues
Environmental_Availability_Natural,Location Availability,Objects found in natural environments,Trees; rocks; boulders; natural materials,Limited but no legal ownership issues,Nature combat has fewer but legally safer throwing options,Wilderness provides natural throwing weapons without legal complications
Environmental_Availability_Government,Location Availability,Objects found in government facilities,Office furniture; government vehicles; security equipment; classified materials,High legal consequences for destruction,Government building combat has severe legal implications for throwing,Official buildings provide throwing options with maximum legal consequences
Environmental_Availability_Military,Location Availability,Objects found on military bases,Military vehicles; weapons; equipment; classified technology,Ultimate legal and security consequences,Military base combat has ultimate legal implications,Military facilities provide military-grade throwing weapons with ultimate consequences
Legal_Consequences_Personal_Property,Legal Framework,Destruction of privately owned objects,Theft and destruction of personal property charges,Property value determines charge severity,Personal items create theft charges in addition to destruction,Low-value personal property results in misdemeanor charges
Legal_Consequences_Public_Property,Legal Framework,Destruction of government owned objects,Vandalism and destruction of public property,Public property destruction affects government services,Government property creates federal charges,Public property destruction often results in federal prosecution
Legal_Consequences_Commercial_Property,Legal Framework,Destruction of business owned objects,Business property destruction and lost revenue,Business disruption affects livelihoods,Commercial destruction creates civil liability,Business property destruction creates both criminal and civil liability
Legal_Consequences_Emergency_Equipment,Legal Framework,Destruction of emergency service equipment,Interference with emergency services and public safety,Emergency equipment affects life safety services,Emergency service disruption creates maximum criminal liability,Emergency equipment destruction often results in terrorism charges
Legal_Consequences_Infrastructure,Legal Framework,Destruction of utility and infrastructure,Infrastructure destruction affecting essential services,Utility destruction affects entire communities,Infrastructure damage creates federal terrorism charges,Infrastructure destruction treated as domestic terrorism
Legal_Consequences_Cultural_Property,Legal Framework,Destruction of culturally significant objects,Cultural heritage destruction and community impact,Cultural items have significance beyond monetary value,Cultural destruction creates hate crime enhancements,Cultural property destruction may result in federal hate crime charges
Environmental_Hazard_Creation,Secondary Effects,Throwing objects can create ongoing hazards,Electrical hazards from power lines; fires from fuel tanks; chemical contamination,Thrown objects may create persistent environmental dangers,Environmental hazards affect combat area for remainder of encounter,Object destruction may create more dangerous secondary effects than initial impact
