Section,Topic,Rule,Formula_Or_Example,Source_File
Major,Critical hit,1.5x damage; enhanced effects + knockback + bonus status,"Extra damage + special effects",Universal_Table.csv

---KNOCKBACK RULES---,,,,
Knockback_Trigger,Major Success with STR 40+ OR Super Strength power,Knockback distance based on STR rank,See Knockback Chart,Knockback CSV
STR_1-9,0 squares,No knockback possible,Human level,Knockback CSV
STR_10-19,1 square,Minimal knockback,Above average,Knockback CSV
STR_20-29,2 squares,Light knockback,Exceptional human,Knockback CSV
STR_30-39,3 squares,Moderate knockback,Max human / Alpha,Knockback CSV
STR_40-49,4 squares,Strong knockback,Threat Level 1,Knockback CSV
STR_50-59,6 squares,Powerful knockback,Threat Level 2,Knockback CSV
STR_60-69,8 squares,Devastating knockback,Threat Level 3,Knockback CSV
STR_70-79,10 squares,Extreme knockback,Threat Level 4,Knockback CSV
STR_80-99,9 squares,High superhuman,Threat Level 5,Knockback CSV
STR_100+,10-20 squares,Cosmic level knockback,Earthshaker+,Knockback CSV
Wall_Punch_Through,STR 40+,Can punch through walls,Environmental destruction,Knockback CSV

---STATUS EFFECT RULES---,,,,
Bleeding_I/II/III,Damage over time,"1d4/1d6/1d8 damage per round",Severity based on attack,Status Effects CSV
Stunned,Cannot act for 1-4 rounds,Lose turn; standing but unable to react,From head blows or Major Success,Status Effects CSV
Burning,Increasing damage over time,Fire damage continues until extinguished,From Fire powers,Status Effects CSV
Mind_Controlled,Enemy controls actions,Attacker controls target's actions,From Psychic powers,Status Effects CSV
Frozen,Immobile unless STR exceeds freeze rank,Cannot move; requires breaking free,From Ice powers,Status Effects CSV
Unconscious,Knocked out,Out of combat until revived,From Knockout attacks,Status Effects CSV
Prone,On ground,-1 to -3 rounds to stand; easier to hit,From knockback/throw,Status Effects CSV
Frightened,Flees uncontrollably,Character runs away from threat source,From Intimidation or fear powers,Status Effects CSV

---ARMOR AND DAMAGE REDUCTION---,,,,
Super_Durability_Low,+5 DR per threat level,Reduces incoming physical damage,Bypassed by armor-piercing,LSW_Power_Combat_Mechanics.csv
Super_Durability_High,+15 DR per threat level,Tank-level resistance,Only exotic weapons work,LSW_Power_Combat_Mechanics.csv
Physical_Armor,Variable by equipment type,Reduces physical damage types,Degrades with damage,Armor_Equipment.csv
Energy_Armor,Variable by equipment type,Reduces energy damage types,Different from physical armor,Armor_Equipment.csv
Bypass_Rules,Mental bypasses physical; Armor-piercing bypasses physical armor,Some attacks ignore DR,Power-specific,LSW_Power_Combat_Mechanics.csv

---POWER TYPE INTERACTIONS---,,,,
Physical_vs_Physical,Standard combat,Armor and DR apply normally,Knockback possible,N/A
Physical_vs_Energy,Energy may bypass physical armor,Check power description for armor interaction,Variable,LSW_Power_Combat_Mechanics.csv
Mental_vs_Physical,Mental bypasses ALL physical armor,Psychic attacks ignore physical DR,Only mental shields block,LSW_Power_Combat_Mechanics.csv
Fire_vs_Ice,Opposing elements,Fire countered by water/ice; Ice countered by fire,Elemental interaction,LSW_Power_Combat_Mechanics.csv
Super_Strength_vs_Durability,Power vs power,Damage still reduced by DR,May cause knockback through,Power interactions

---SKILL INTEGRATION---,,,,
Combat_Skills,Add to hit rolls,Martial Arts +2CS melee; Shooting +2CS ranged,Skill type must match attack type,Complete_Skills_Talents.csv
Defense_Skills,Add to dodge or reduce damage,Dodge +2CS; Roll With Blow halves blunt,Active during defense,Complete_Skills_Talents.csv
Special_Skills,Unique effects,Ninjitsu stealth attacks +damage; Boxing can stun,Conditional effects,Complete_Skills_Talents.csv

---THREAT LEVEL SCALING---,,,,
Threat_Alpha,Max human / Enhanced human,Base power level,No cosmic abilities,Origins document
Threat_1,Low superhuman,+10 to power effects,Minor superhuman,Origins document
Threat_2,Superhuman,+20 to power effects,Solid superhuman,Origins document
Threat_3,High superhuman,+30 to power effects,Major league,Origins document
Threat_4,Very high superhuman,+40 to power effects,Near cosmic,Origins document
Threat_5,Peak superhuman,+50 to power effects,Pre-cosmic,Origins document
Earthshaker+,Cosmic levels,Reality-affecting powers,Beyond normal scale,Origins document

---COMPLETE EXAMPLE---,,,,
Example_Setup,"Inferno (Fire Gen High) vs Granite (Super Strength High + Durability High)",,,
Step_A,Inferno attacks with Fire Generation,"Hit Stat: AGL = 45 (Incredible column 7)",AGL for ranged energy,
Step_B,Apply Column Shifts,"Energy Weapons +2CS; Fire Gen High +3CS = +5CS",Attacker bonuses,
Step_C,Granite's Dodge,"AGL 25 + INS 20 = 45 = -2CS",Defender penalty,
Step_D,Final Column,"7 + 5 - 2 = 10 (Unearthly)",Very favorable,
Step_E,Roll d100,Rolls 42,Mid-range roll,
Step_F,Table Lookup,"42 on Column 10 = Major Success",Excellent result,
Step_G,Calculate Damage,"Fire Gen High = 75 base × 1.5 (Major) = 112",Before DR,
Step_H,Apply DR,"Granite Durability High = -15 DR; 112 - 15 = 97 final",After DR,
Step_I,Apply Damage,"Granite Health: 205 - 97 = 108",Remaining health,
Step_J,Status Effect,"Major Success = Burning applied",Ongoing fire damage,
Step_K,No Knockback,Fire doesn't cause knockback (not physical),Energy attack,
