PRJ_052,Advanced_Silencer,TREE_WEAP,14,Advanced,TECH,3,Weapons_Lab,NODE_092,Materials:Exotic:20,Weapon_Mod,MOD_SILENCE2,-50dB sound
PRJ_056,Incendiary_Rounds,TREE_WEAP,14,Advanced,TECH,3,Weapons_Lab,NODE_101,Materials:Exotic:25,Ammo_Type,AMMO_FIRE,Fire damage on hit
PRJ_061,Surgical_Kit,TREE_MED,14,Advanced,MED,3,Medical_Lab,NODE_112,Supplies:Medical:30,Equipment,MED_003,Field surgery capable
PRJ_070,Genetic_Analysis,TREE_BIO,21,Advanced,MED,3,Genetics_Lab,NODE_120,Samples:DNA:5,Skill_Unlock,SKILL_GENE,Analyze DNA samples

===RESEARCH PROJECTS - EXPERT===
Project_ID,Project_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Resource_Cost,Output_Type,Output_ID,Output_Description
PRJ_030,Exo_Frame,TREE_ARMOR,20,Expert,TECH,4,Armor_Workshop,NODE_004,Materials:Exotic:80,Frame,FRAME_EXO,Power armor base: 10/10 DR
PRJ_031,Graphene_Layer,TREE_MAT,21,Expert,TECH,4,Armor_Workshop,NODE_022,Materials:Exotic:60,Material,MAT_GRAPHENE,1.5x DR with 0.3x weight
PRJ_040,Power_Armor_Mk1,TREE_ROBOT,30,Expert,TECH,4,Robotics_Lab,NODE_051;NODE_003,Materials:Exotic:100;Components:Exotic:80,Armor,ARM_POWER1,Full power armor: 25/15 DR +20 STR
PRJ_041,Flight_Pack,TREE_PROP,45,Expert,TECH,5,Aerospace_Lab,NODE_072,Components:Exotic:100,Component,COMP_FLIGHT,Full flight capability
PRJ_042,Stealth_Suit,TREE_STEALTH,45,Expert,TECH,4,Armor_Workshop,NODE_081;NODE_003,Materials:Exotic:80,Armor,ARM_STEALTH,Stealth armor: 5/5 DR +4CS stealth
PRJ_043,AI_Assistant,TREE_AI,60,Expert,TECH,5,Cyber_Lab,NODE_061,Components:Exotic:120,Equipment,AI_ASSIST,+1CS all research
PRJ_053,Heavy_Weapon_System,TREE_WEAP,21,Expert,TECH,4,Weapons_Lab,NODE_093,Materials:Exotic:50,Weapon,WPN_HEAVY,Portable heavy weapon
PRJ_054,Energy_Rifle,TREE_WEAP,30,Expert,TECH,5,Weapons_Lab,NODE_094,Components:Exotic:80,Weapon,WPN_ENERGY,35 energy damage
PRJ_062,Neuro_Stimulator,TREE_MED,21,Expert,MED,4,Medical_Lab,NODE_113,Components:Exotic:40;Samples:Neural:5,Equipment,MED_NEURO,+2CS mental recovery
PRJ_063,Neural_Interface,TREE_MED,30,Expert,MED,5,Medical_Lab,NODE_114,Components:Exotic:100;Samples:Neural:10,Implant,IMP_NEURAL,Direct tech control
PRJ_071,Gene_Therapy,TREE_BIO,30,Expert,MED,4,Genetics_Lab,NODE_121,Samples:DNA:20;Supplies:Medical:50,Treatment,TREAT_GENE,Cure genetic diseases
PRJ_090,Psi_Amplifier,TREE_PSI,21,Expert,PSY,4,Psi_Lab,NODE_140,Components:Exotic:60,Equipment,PSI_AMP,+2CS psychic abilities
PRJ_100,Alien_Analysis,TREE_ALIEN,30,Expert,TECH,5,Alien_Tech_Lab,NODE_150,Samples:Alien:3,Skill_Unlock,SKILL_ALIEN,Analyze alien technology

===RESEARCH PROJECTS - EXPERIMENTAL===
Project_ID,Project_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Resource_Cost,Output_Type,Output_ID,Output_Description
PRJ_044,Power_Armor_Mk2,TREE_ROBOT,45,Experimental,TECH,5,Robotics_Lab,PRJ_040,Materials:Exotic:150;Components:Exotic:120,Armor,ARM_POWER2,Enhanced power armor: 35/25 DR +30 STR flight
PRJ_045,Power_Armor_Mk3,TREE_ROBOT,90,Experimental,TECH,5,Robotics_Lab,PRJ_044,Materials:Alien:100;Components:Exotic:200,Armor,ARM_POWER3,Super power armor: 50/40 DR +50 STR
PRJ_046,Quantum_Decryptor,TREE_AI,90,Experimental,TECH,5,Alien_Tech_Lab,NODE_061;NODE_150,Components:Alien:80,Equipment,HCK_010,Unbreakable decryption
PRJ_080,LSW_Serum,TREE_MUTA,120,Experimental,MED,5,Mutagenics_Lab,NODE_130,Samples:LSW_DNA:10;Supplies:Medical:100,Serum,SER_LSW,Grants random power (dangerous)
PRJ_081,Controlled_Mutation,TREE_MUTA,180,Experimental,MED,5,Mutagenics_Lab,PRJ_080,Samples:LSW_DNA:20;Samples:Target_DNA:5,Serum,SER_CONTROL,Choose power type (still risky)
PRJ_091,Psi_Null_Field,TREE_PSI,30,Experimental,PSY,5,Psi_Lab,NODE_141,Components:Exotic:80,Equipment,PSI_NULL,Block psychic powers 50ft
PRJ_101,Vibranium_Armor,TREE_ALIEN,120,Experimental,TECH,5,Alien_Tech_Lab,NODE_151;NODE_022,Materials:Alien:50,Material,MAT_VIBRANIUM,2.0x DR multiplier
PRJ_102,Alien_Weapon,TREE_ALIEN,90,Experimental,TECH,5,Alien_Tech_Lab,NODE_151,Samples:Alien:10;Components:Alien:50,Weapon,WPN_ALIEN,50+ exotic damage

===FACILITIES===
Facility_ID,Facility_Name,Build_Cost_USD,Monthly_Cost_USD,Max_Team_Size,Research_Types_Enabled,Upgrade_Cost_Advanced,Upgrade_Cost_Cutting,Upgrade_Cost_Experimental
FAC_001,Workshop,50000,2000,2,Basic_Armor;Weapon_Mods;Field_Gear;Tools,25000,50000,100000
FAC_002,Electronics_Lab,100000,5000,3,Electronics;Sensors;Communications,50000,100000,200000
FAC_003,Medical_Lab,150000,8000,3,Medical;Basic_Bio,75000,150000,300000
FAC_004,Cyber_Lab,200000,10000,4,Hacking;Software;AI_Basic,100000,200000,400000
FAC_005,Weapons_Lab,250000,12000,4,Weapons;Ammunition;Explosives,125000,250000,500000
FAC_006,Armor_Workshop,200000,10000,4,All_Armor;Materials;Stealth,100000,200000,400000
FAC_007,Robotics_Lab,500000,25000,5,Robotics;Drones;Exoskeletons;Power_Armor,250000,500000,1000000
FAC_008,Aerospace_Lab,750000,30000,5,Propulsion;Flight;Vehicles,375000,750000,1500000
FAC_009,Genetics_Lab,500000,25000,4,Biological;Genetic,250000,500000,1000000
FAC_010,Mutagenics_Lab,1000000,50000,4,Mutagenics;LSW_Research,500000,1000000,2000000
FAC_011,Psi_Lab,500000,25000,3,Psi_Tech;Psychic,250000,500000,1000000
FAC_012,Alien_Tech_Lab,2000000,100000,6,Alien_Tech;Exotic,1000000,2000000,4000000

===RESOURCE TYPES===
Resource_Type,Category,Examples,Acquisition_Method,Base_Cost_Per_Unit
Materials:Basic,Construction,Steel; Plastic; Copper; Aluminum,Purchase,10
Materials:Advanced,Construction,Titanium; Carbon Fiber; Ceramics,Purchase,50
Materials:Exotic,Construction,Graphene; Aerogel; Metamaterials,Black_Market;Missions,200
Materials:Alien,Construction,Vibranium; Unknown Alloys,Missions_Only,1000
Components:Basic,Electronics,Wires; Resistors; Basic Chips,Purchase,5
Components:Advanced,Electronics,Processors; Sensors; Motors,Purchase,25
Components:Exotic,Electronics,AI Cores; Quantum Chips; Alien Parts,Black_Market;Missions,100
Components:Alien,Electronics,Alien Technology Parts,Missions_Only,500
Samples:DNA,Biological,Human DNA; Animal DNA,Medical_Labs,20
Samples:LSW_DNA,Biological,DNA from powered individuals,Missions;Capture,500
Samples:Neural,Biological,Brain tissue; Neural samples,Medical_Labs,100
Samples:Alien,Biological,Alien biological material,Missions_Only,1000
Supplies:Medical,Consumable,Bandages; Medicines; Surgical Supplies,Purchase,10

===TEAM COMPOSITION===
Role,Education_Required,Career_Required,Speed_Bonus,Max_Per_Team,Notes
Lead_Researcher,Bachelors+,Matching_Career,Base,1,Required - sets base speed
Assistant_Researcher,Bachelors+,Any_TECH_or_MED,+0.25x,3,General research help
Technician,Trade_School+,Any,+0.10x,2,Lab maintenance and operation
Specialist,Bachelors+,Matching_Career,+0.15x,2,Specific expertise bonus
Safety_Officer,Any,Any,+0.00x,1,Required for dangerous research

===SPEED MODIFIERS===
Factor,Modifier_Type,Value
Education_Trade_School,Multiplier,0.5
Education_Associates,Multiplier,0.75
Education_Bachelors,Multiplier,1.0
Education_Masters,Multiplier,1.25
Education_Doctorate,Multiplier,1.5
Education_Post_Doc,Multiplier,2.0
Facility_Basic,Multiplier,1.0
Facility_Advanced,Multiplier,1.25
Facility_Cutting_Edge,Multiplier,1.5
Facility_Experimental,Multiplier,1.75
AI_Assistant,Flat_Bonus,+1CS_to_rolls

===COMPLICATIONS TABLE===
Roll_Range,Complication,Effect
01-20,Minor_Delay,+25% time remaining
21-40,Resource_Waste,Need extra materials (25% more)
41-55,Equipment_Damage,Facility needs 1-3 day repair
56-70,Partial_Success,Output is -1 tier quality
71-80,Breakthrough,Research completes 25% faster
81-90,Minor_Injury,Researcher injured (1d6 days recovery)
91-95,Catastrophic_Failure,Research must restart from 0%
96-99,Explosion_Accident,Major facility damage plus injuries
00,Unexpected_Discovery,Bonus related research unlocked free

===DESIGNER NOTES===
Topic,Note
Research_Balance,High tier research takes real-world weeks; creates meaningful progression
Facility_Investment,Facilities are major investments; drive base-building decisions
Team_Optimization,Optimal teams reduce time by 50-75%; solo research is slow
Education_Gate,Education requirements prevent new players from rushing end-game tech
Career_Specialization,TECH covers most research; specialists needed for Bio/Psi/Alien
Resource_Scarcity,Exotic and Alien materials are mission rewards; not purchasable
Risk_vs_Reward,Experimental research has failure chance; big rewards but dangerous
Integration,Research unlocks tie directly to Equipment CSVs for output items
