Roll,Shift_0,Feeble,Poor,Typical,Good,Excellent,Remarkable,Incredible,Amazing,Monstrous,Unearthly,Shift_X,Shift_Y,Shift_Z,Class_1000
64,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
65,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
66,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
67,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
68,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
69,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
70,Failed,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
71,Failed,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
72,Failed,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
73,Failed,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
74,Failed,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
75,Failed,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major
76,Failed,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major
77,Failed,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major
78,Failed,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major
79,Failed,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major
80,Failed,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major
81,Failed,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major
82,Failed,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major
83,Failed,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major
84,Failed,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major
85,Failed,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major
86,Failed,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major
87,Failed,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major
88,Failed,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major
89,Failed,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major
90,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
91,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
92,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
93,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
94,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
95,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success
96,Failed,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success
97,Failed,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success
98,Failed,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Success,Success
99,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
00,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major,Major

---PROBABILITY SUMMARY---,,,,,,,,,,,,,,,
Rank,Failed%,Minor%,Success%,Major%,,,,,,,,,,,
Shift_0,98%,1%,0%,1%,,,,,,,,,,,
Feeble,24%,45%,30%,1%,,,,,,,,,,,
Poor,14%,35%,50%,1%,,,,,,,,,,,
Typical,5%,29%,60%,6%,,,,,,,,,,,
Good,5%,14%,65%,16%,,,,,,,,,,,
Excellent,0%,14%,61%,25%,,,,,,,,,,,
Remarkable,0%,9%,56%,35%,,,,,,,,,,,
Incredible,0%,9%,46%,45%,,,,,,,,,,,
Amazing,0%,4%,36%,60%,,,,,,,,,,,
Monstrous,0%,4%,26%,70%,,,,,,,,,,,
Unearthly,0%,4%,16%,80%,,,,,,,,,,,

---KEY DESIGN NOTES---,,,,,,,,,,,,,,,
Note_1,Major Success is now RARE until you reach Amazing+ ranks,,,,,,,,,,,,,,,
Note_2,Even Remarkable (stat 31-40) only gets ~35% Major Success rate,,,,,,,,,,,,,,,
Note_3,This creates tactical depth - even powerful characters need tactics,,,,,,,,,,,,,,,
Note_4,Roll 99 is ALWAYS Failed (critical fumble),,,,,,,,,,,,,,,
Note_5,Roll 00 is ALWAYS Major (critical success),,,,,,,,,,,,,,,
Note_6,Rolls 90-98 are the "almost failed" zone - diminishing returns,,,,,,,,,,,,,,,
