Section,Element,Value,Description,Formula_Or_Rule
Range_Calculation,Straight line distance,Count squares to target (diagonal = 1.5),Range = max(deltaX deltaY) + min(deltaX deltaY)/2,
Point_Blank,0-1 squares,Adjacent or same square,+2CS to hit; cannot use long-range weapons,
Short_Range,2-5 squares,Close combat range,No modifier,
Medium_Range,6-15 squares,Standard ranged combat,No modifier,
Long_Range,16-30 squares,Extended range,-1CS to hit,
Extreme_Range,31-50 squares,Sniper territory,-2CS to hit,
Maximum_Range,51+ squares,Power-dependent,Most weapons cannot reach; -3CS minimum,

---WEAPON RANGE LIMITS---,,,,
Melee,0-1 squares,Touch/adjacent only,Super Strength throw = STR/10 squares,
Pistol,25 squares (50m),Standard sidearm,Optimal 5-15,
Rifle,60 squares (120m),Standard rifle,Optimal 15-40,
Sniper,100 squares (200m),Precision rifle,Optimal 40-80,
Shotgun,15 squares (30m),Spread weapon,Optimal 3-8; cone effect,
SMG,20 squares (40m),Close-mid range,Optimal 5-15,
Heavy_Weapons,50 squares (100m),Machine guns rockets,Minimum range 3 for explosives,
Thrown,STR/5 squares,Based on strength,STR 30 = 6 squares throw range,
Energy_Power,Power specific,See LSW_Power_Combat_Mechanics,Fire Gen = 8 (Low) or 20 (High) squares,
Psychic_Power,Power specific,Mental range usually longer,Psychic Blast = 15 (Low) or 30 (High) squares,

---LINE OF SIGHT---,,,,
LOS_Required,Must see target,Draw line from center to center,If line crosses blocking terrain = no LOS,
Full_LOS,Unobstructed view,Clear shot,No penalty,
Partial_LOS,Some obstruction,Target has cover,-1CS to -3CS depending on cover,
No_LOS,Cannot see target,Blocked by terrain/buildings,Cannot make ranged attacks (except area effects),
Concealment,Soft cover,Bushes smoke darkness,Target harder to see not harder to hurt once hit,
Corner_Peeking,Partial exposure,Attacking from corner,Attacker gets +1CS defense; target gets cover,

---COVER SYSTEM---,,,,
No_Cover,Open ground,Fully exposed,No defensive bonus,
Light_Cover,25% concealed,Low wall furniture car,+1CS to target's defense,
Medium_Cover,50% concealed,Half wall window frame,+2CS to target's defense,
Heavy_Cover,75% concealed,Doorway pillbox,+3CS to target's defense,
Full_Cover,100% concealed,Solid wall building,Cannot be targeted directly; must destroy cover first,
Elevation_Cover,Higher ground advantage,Attacker above target,+1CS to attacker; target loses cover bonus,

---TERRAIN TYPES---,,,,
Street,Clear movement; No cover,Urban roads,Vehicles can traverse,
Sidewalk,Clear movement; No cover,Pedestrian areas,Normal foot traffic,
Building_Interior,Variable; doors and walls,Inside structures,Room-by-room combat,
Rubble,Rough terrain; Light cover,Destroyed buildings,Movement penalty; provides some cover,
Vehicle_Wreck,Difficult terrain; Medium cover,Destroyed cars,Can explode if hit with fire/energy,
Water_Shallow,Difficult terrain; No cover,Puddles streams,Movement penalty,
Water_Deep,Impassable without swimming/flight,Rivers pools,Requires swimming or water powers,
Rooftop,Clear; exposed from above,Building tops,Good sniper positions; flight access,
Park_Open,Clear movement; No cover,Open green spaces,Large engagement areas,
Park_Dense,Rough terrain; Light cover,Wooded areas,Concealment from above,

---ENVIRONMENTAL DESTRUCTION---,,,,
Destructible_Light,STR 20+ or 20 damage,Windows furniture,1 attack destroys,
Destructible_Medium,STR 40+ or 50 damage,Wooden walls doors,2-3 attacks destroys,
Destructible_Heavy,STR 60+ or 100 damage,Brick walls concrete,Multiple attacks or explosives,
Indestructible,Cannot destroy,Steel reinforced; special materials,Requires specific powers or plot,
Punch_Through,STR 40+ on Major Success,Character creates new path,Knockback can send targets through walls,

---ACTION POINT SYSTEM---,,,,
Total_AP,6 AP per turn,Standard action economy,All characters get 6 AP,
Move_1_Square,1 AP,Single square movement,Can split movement around actions,
Attack_Melee,3 AP,Standard melee attack,One attack per 3 AP,
Attack_Ranged,3 AP,Standard ranged attack,Aiming adds AP cost,
Attack_Power,Power AP cost,See LSW_Power_Combat_Mechanics,1-10 AP depending on power,
Aim,2 AP,+1CS to next attack,Stacks up to +3CS (6 AP),
Reload,2-6 AP,Weapon dependent,See weapons table,
Use_Item,2 AP,Activate equipment,Grenades first aid etc,
Take_Cover,1 AP,Move to cover position,Must be adjacent to cover,
Stand_Up,2 AP,Rise from prone,Required after knockdown,
Change_Altitude,2 AP per level,Flight altitude change,Requires flight power,
Overwatch,4 AP,Interrupt enemy movement,Attack triggers on enemy move in LOS,

---SPECIAL MOVEMENT---,,,,
Charge,Full movement + melee attack,Must move minimum 3 squares,+1CS melee damage; -1CS defense until next turn,
Tactical_Retreat,Half movement + disengage,No opportunity attacks,Cannot attack this turn,
Jump_Horizontal,STR/10 squares,Running jump distance,STR 50 = 5 squares horizontal,
Jump_Vertical,STR/20 squares up,Vertical leap,STR 50 = 2.5 squares (5 meters) up,
Wall_Run,AGL check + movement,Run along vertical surface,Requires AGL 40+; lasts 1 turn,
Grapple_Move,Half movement,Drag grappled target,Target resists with STR,

---ELEVATION EFFECTS---,,,,
Higher_Ground,+1CS ranged attacks,Shooting down,Bonus stacks with cover,
Lower_Ground,-1CS ranged attacks,Shooting up,Penalty unless target is exposed,
Flight_Advantage,+2CS vs ground targets,Aerial superiority,Ground-based melee cannot reach,
Falling_Damage,5 damage per Z level,Falling from height,STR 40+ can land safely from Z=2,

---AREA EFFECTS---,,,,
Cone,45 degree arc from attacker,Flamethrower shotgun spread,Width = Range/3 at max distance,
Line,1 square wide to max range,Beam attacks laser,Hits all targets in line,
Radius,Circle centered on point,Explosions psychic blast,All in radius affected,
Burst,3x3 to 7x7 square,Grenades area powers,Size based on power level,

---VISIBILITY CONDITIONS---,,,,
Bright,Full visibility,Daylight well-lit interior,Normal combat,
Dim,-1CS to perception/ranged,Dawn/dusk dim interior,Mild penalty,
Dark,-3CS to perception/ranged,Night no lights,Stealth advantage; combat penalty,
Pitch_Black,No normal vision possible,Underground no light,Requires enhanced senses or other powers,
Smoke/Fog,-2CS; concealment,Environmental effect,Blocks LOS at 5+ squares,
Rain,-1CS ranged,Weather effect,Reduced visibility,
Heavy_Rain/Storm,-2CS ranged; -1CS movement,Severe weather,Slows movement; hampers combat,

---STEALTH ON GRID---,,,,
Stealth_Movement,Half speed,Moving without detection,Stealth skill check vs Perception,
Ambush_Position,Full concealment,Hidden from all enemies,+3CS first attack from ambush,
Sound_Generation,Normal movement = detectable,Running/attacking creates noise,Enemies within 10 squares hear,
Silent_Movement,Stealth skill + power,No sound generated,Ninjitsu or Invisibility required for true silence,

---MULTI-LEVEL BUILDINGS---,,,,
Floor_Transition,Stairs/elevator/flight,Moving between Z levels,2-3 AP per floor via stairs,
Roof_Access,Ladder/stairs/flight,Getting to rooftop,External ladder or internal stairs,
Window_Entry,Crash through,2 AP + possible damage,Glass = no damage; reinforced = STR check,
Wall_Breach,STR check or explosives,Create new entry point,Super Strength or demolitions,
Floor_Collapse,Structure damage,Falling through damaged floor,Damage from attack + fall,

---VEHICLES ON GRID---,,,,
Vehicle_Size,2x4 to 4x8 squares,Cars to trucks,Occupies multiple squares,
Vehicle_Movement,15-50 squares per turn,Based on vehicle type,Car=30; Truck=20; Motorcycle=40,
Vehicle_Cover,Medium to Heavy,Metal body provides cover,Fuel tank = explosion risk,
Ram_Attack,Vehicle collision,Damage based on speed,Speed × size = damage,
Vehicle_Entry/Exit,2 AP,Getting in or out,Vulnerable during transition,
