Resolution_Step,Step_Name,Calculation_Method,Required_Data,Formula,Output_Data,Integration_Points,Special_Cases,Error_Handling
Power_Resolution_Direct,Power Type,Powers that directly affect targets,Line of sight or touch powers with immediate effects,"Power_Effect = Power_Level × Threat_Multiplier × Success_Result",Immediate power effects on target,LSW_Power_Combat_Mechanics.csv + power level scaling,Psychic blast hits immediately; super strength enhances attacks; invisibility affects detection,Power effects apply based on success level
Power_Resolution_Area,Power Type,Powers that affect multiple targets or areas,Area effect powers with radius and falloff effects,"Area_Effect = Power_Radius × Power_Intensity × Distance_Falloff",Multiple targets affected with distance-based effects,Area effect calculations + target positioning,Fire generation affects all in radius; explosion powers have blast radius; reality warping affects local area,Area effects may hit allies if not careful
Power_Resolution_Sustained,Power Type,Powers that last multiple rounds,Ongoing effects that continue until dispelled or duration expires,"Sustained_Effect = Power_Duration × Maintenance_Cost × Concentration_Check",Ongoing power effects tracked across multiple rounds,Power duration tracking + concentration mechanics,Flight continues until stopped; invisibility lasts until broken; force fields persist until destroyed,Sustained powers require concentration; may end if character stunned
Power_Resolution_Reaction,Power Type,Powers that respond to other actions,Triggered abilities that activate in response to specific events,"Reaction_Trigger = Trigger_Event × Reaction_Speed × Success_Check",Reactive power activation when conditions met,Reaction timing integration + trigger condition tracking,Enhanced reflexes respond to attacks; precognition reacts to danger; force fields activate when attacked,Reaction powers interrupt normal initiative order
Environmental_Resolution_Destruction,Environmental Effect,Physical destruction of environment,Buildings and structures damaged by combat,"Destruction = Impact_Force vs Material_Strength + Area_Effect",Environmental changes affecting future combat,Environmental destruction tracking + material strength tables,Concrete walls crack under superhuman strength; steel beams bend; glass shatters; buildings may collapse,Destroyed environment affects movement and cover options
Environmental_Resolution_Hazards,Environmental Effect,Environmental dangers created by combat,Fire spread; electrical damage; chemical leaks; radiation,"Hazard_Creation = Damage_Source × Environmental_Vulnerability × Spread_Factor",Ongoing environmental hazards affecting combat,Environmental hazard tracking + damage over time,Fire spreads to flammable materials; electricity arcs to conductive surfaces; chemicals create toxic areas,Environmental hazards persist and may worsen over time
Environmental_Resolution_Weather,Environmental Effect,Weather and atmospheric conditions affecting combat,Wind; rain; visibility; temperature effects on combat effectiveness,"Weather_Effect = Weather_Intensity × Power_Vulnerability × Equipment_Adaptation",Combat modifier adjustments based on weather,Weather integration with power and equipment effectiveness,Strong winds affect flight and projectiles; rain reduces fire effectiveness; fog reduces visibility,Weather effects apply throughout combat duration
Outcome_Decisive_Victory,Combat Outcome,Clear victory with minimal losses,One side completely defeated with minimal damage to victor,Victor suffers less than 25% health loss; loser reduced to unconscious or surrender,Clear winner with tactical superiority demonstrated,Reputation bonus for clean victory,Victor demonstrates superior tactics or power; loser clearly outmatched,High reputation gain; minimal legal consequences
Outcome_Pyrrhic_Victory,Combat Outcome,Victory achieved at high cost,Technical victory but with significant losses or damage,Victor suffers 50%+ health loss or major equipment damage; achieved objective,Victory with questionable value,Reputation penalty despite victory,Victor wins but at great cost; questions effectiveness of approach,Reputation loss; significant legal and financial consequences
Outcome_Mutual_Defeat,Combat Outcome,Both sides defeated or incapacitated,No clear victor; both sides suffer major losses,Both sides reduced to unconscious or critical condition,Stalemate requiring external resolution,No reputation change; investigation required,Both sides fought to mutual destruction; external factors determine final outcome,Legal consequences for both; no clear resolution
Outcome_Escape_Success,Combat Outcome,One side successfully flees combat,Strategic withdrawal or successful escape,Escaping side reaches safety; pursuing side fails to prevent escape,Tactical withdrawal preserves resources,Reputation depends on circumstances,Successful strategic thinking; live to fight another day,Minimal legal consequences; tactical intelligence gained
Outcome_Objective_Success,Combat Outcome,Mission objective achieved regardless of battle result,Strategic victory through objective completion,Objective completed even if combat was lost or drawn,Mission success despite tactical difficulties,Reputation bonus for mission completion,Strategic thinking overcomes tactical disadvantage; mission first mentality,Reduced legal consequences due to mission success
AI_Prompt_Street_Level,AI Generation,Street-level combat narrative,Generate realistic street-level superhero encounter,"Generate a 200-word newspaper report of a street-level superhero encounter between {Character_1} and {Character_2} in {Location}. Focus on realistic action and minimal property damage. Style: Local news.",Local news style combat report,AI narrative generation for street-level encounters,Emphasize realism and local impact,Street-level narrative style with local perspective
AI_Prompt_Superhuman_Battle,AI Generation,Superhuman combat narrative,Generate epic superhuman battle report,"Generate a 300-word news report of an epic superhuman battle between {Character_1} and {Character_2} in {Location}. Include power displays and property damage. Style: Major news network.",Major news style combat report,AI narrative generation for powered encounters,Emphasize spectacle and consequences,Superhuman narrative with dramatic power displays
AI_Prompt_Cosmic_Encounter,AI Generation,Cosmic-scale combat narrative,Generate reality-threatening encounter report,"Generate a 400-word report of a cosmic-scale encounter between {Character_1} and {Character_2} that threatens reality itself in {Location}. Style: Scientific journal meets breaking news.",Scientific analysis style report,AI narrative generation for cosmic encounters,Emphasize universal implications,Cosmic narrative with scientific and philosophical implications
Statistical_Analysis,Analysis Type,Combat effectiveness percentages,Pure numbers analysis of combat performance,"Win_Rate = Victories / Total_Combats × 100; Avg_Damage = Total_Damage / Combat_Rounds",Statistical combat performance data,Combat statistics tracking and analysis,Objective analysis without narrative bias,Statistical validation of balance and effectiveness
Tactical_Analysis,Analysis Type,Strategic and tactical decision breakdown,Analysis of tactical choices and their effectiveness,"Tactical_Score = Decision_Quality × Execution_Success × Strategic_Value",Tactical performance evaluation,Tactical decision tracking and evaluation,Focus on decision-making quality over raw power,Educational analysis for tactical improvement
Balance_Analysis,Analysis Type,System balance verification,Analysis of whether combat systems produce fair and engaging results,"Balance_Score = Power_Distribution × Counter_Options × Strategic_Depth",System balance verification data,Balance validation across all combat systems,Focus on fairness and strategic depth,System refinement guidance for designers
