Scenario_Type,AI_Prompt_Template,Variable_Inputs,Example_Generated_Event,Player_Impact,Dramatic_Potential,Realism_Level
Environmental_Disaster,"Generate an environmental crisis where LSW powers cause {Environmental_Damage} in {Location} requiring {International_Response}.","Environmental_Damage, Location, Responsible_Faction, International_Response","Fire-powered LSW battle causes Amazon rainforest fire affecting global climate. Brazil requests international assistance while environmental groups demand LSW regulation.","Environmental responsibility; Climate change implications; International environmental law","High - Global environmental implications","Very High - Based on real environmental crises"
Refugee_Crisis,"Create a refugee situation where {Crisis_Cause} forces LSW population displacement requiring {International_Response}.","Crisis_Cause, Origin_Country, LSW_Refugees, Destination_Countries, International_Response","Anti-LSW persecution in authoritarian regime creates LSW refugee crisis. Democratic nations debate LSW asylum while authoritarian nations demand LSW extradition.","LSW civil rights; International refugee law; Government vs LSW community relations","Medium - Human rights focus","Very High - Based on real refugee crises"
Intelligence_War,"Generate an intelligence conflict where {Intelligence_Agency} discovers {Secret_Operation} by {Target_Faction} leading to {Espionage_Response}.","Intelligence_Agency, Secret_Operation, Target_Faction, Espionage_Response","CIA discovers Chinese LSW infiltration of US government. Counterintelligence operation reveals double agents while China denies involvement.","Intelligence operations security; Espionage vs cooperation; Trust breakdown between factions","High - Intelligence warfare implications","Very High - Based on real espionage patterns"
Cultural_Clash,"Generate a cultural conflict where {Cultural_Practice} involving LSWs conflicts with {International_Standards} requiring diplomatic resolution.","Cultural_Practice, Culture_Origin, International_Standards, Diplomatic_Response","Traditional African LSW initiation practices conflict with international human rights standards. Nigeria defends cultural sovereignty while international community demands compliance.","Cultural sovereignty vs international standards; Human rights implications; Cultural authenticity vs global norms","Medium - Cultural sensitivity focus","High - Based on real cultural vs international law conflicts"
Nuclear_LSW_Crisis,"Create a nuclear crisis where {Nuclear_Nation} develops {Nuclear_LSW_Program} triggering {International_Response}.","Nuclear_Nation, Nuclear_LSW_Program, International_Response, Non_Proliferation","Pakistan develops nuclear-powered LSW program triggering international non-proliferation response. Nuclear powers demand inspection while Pakistan claims sovereignty.","Nuclear non-proliferation; LSW nuclear technology; International nuclear authority","Very High - Nuclear proliferation with superpowers","High - Based on real nuclear proliferation concerns"
Space_Race_LSW,"Generate a space competition where {Space_Faction} achieves {Space_Milestone} using LSW capabilities causing {International_Competition}.","Space_Faction, Space_Milestone, LSW_Space_Application, International_Competition","China establishes moon base using gravity-manipulation LSWs. US responds with space program acceleration while India offers international space cooperation.","Space authority; Off-world operations; International space law; Cosmic threat preparation","High - Space competition with superpowers","Medium - Fictional LSW space applications but realistic space competition"
Assassination_Plot,"Create an assassination crisis where {Target_Figure} faces {Assassination_Threat} by {Enemy_Faction} requiring {Protection_Response}.","Target_Figure, Assassination_Threat, Enemy_Faction, Protection_Response, Political_Implications","UN Secretary-General faces LSW assassination plot by anti-LSW extremists. International protection detail required while investigation reveals broader conspiracy.","VIP protection; International security; Extremist threats; Global leadership protection","Very High - International assassination with superpowers","Medium - Fictional LSW assassination but realistic security concerns"
Terrorism_Response,"Generate a terrorism crisis where {Terrorist_Group} uses {LSW_Terrorism} against {Target_Population} requiring {Counter_Terrorism_Response}.","Terrorist_Group, LSW_Terrorism, Target_Population, Counter_Terrorism_Response","Extremist group uses mind-control LSWs for mass psychological terrorism. International counter-terrorism cooperation required while civil liberties debate emerges.","Counter-terrorism authority; Civil liberties vs security; International cooperation; Mental LSW regulation","Very High - Terrorism with mind control","Medium - Fictional mental terrorism but realistic counter-terrorism response"
Diplomatic_Summit,"Generate a diplomatic summit where {Summit_Purpose} brings together {Faction_List} to address {Global_Issue}.","Summit_Purpose, Faction_List, Global_Issue, Negotiation_Stakes","LSW Regulation Summit brings all factions together to address cosmic threat preparation. Negotiations complicated by trust issues and competing national interests.","Diplomatic authority; International cooperation; Global governance; Cosmic threat preparation coordination","Medium - Diplomatic negotiation focus","Very High - Based on real international summit patterns"
Revolution_Movement,"Create a revolution scenario where {Population_Group} revolts against {Government_Authority} using {LSW_Support}.","Population_Group, Government_Authority, LSW_Support, Revolution_Goals","Democratic revolution in authoritarian nation supported by freedom-fighting LSWs. International community debates intervention while authoritarian allies support regime.","Revolution support vs government stability; Democratic vs authoritarian systems; International intervention","Very High - Revolution with superpowers","High - Based on real democratic revolution patterns but with fictional LSW involvement"
