Ammo_Type,Weapon_Compatibility,Ammo_Count_Per_Load,Max_Carrying_Capacity,Cost_Per_Round,Availability,Special_Properties,Damage_Modifier,Legal_Restrictions,Weight_Per_Round
Ammunition_Scarcity_Ultra_Rare,Availability Level,Experimental or alien technology ammunition,Requires special research or alien contact,10-50× standard cost,Extremely limited,Exotic and experimental ammunition,Ultra-expensive; requires special circumstances
Ammunition_Storage_Personal,Storage Type,Carried on character,Limited by character carrying capacity and equipment,Affects character movement and stealth,Personal ammunition management,Individual character ammunition tracking
Ammunition_Storage_Vehicle,Storage Type,Stored in vehicles,Vehicles can carry larger ammunition supplies,Vehicle storage affects ammunition availability,Team ammunition management,Vehicle-based ammunition supplies
Ammunition_Storage_Base,Storage Type,Stored at headquarters,Unlimited storage at faction base,Base storage affects mission preparation,Faction ammunition management,Headquarters ammunition stockpiles
Ammunition_Resupply_Field,Resupply Method,Acquiring ammunition during missions,Finding ammunition in environment or from defeated enemies,Scavenged ammunition quality varies,Tactical ammunition management,Mission-based ammunition acquisition
Ammunition_Resupply_Purchase,Resupply Method,Buying ammunition between missions,Standard commercial or military procurement,Cost affects faction budget,Economic ammunition management,Market-based ammunition acquisition
Ammunition_Resupply_Manufacturing,Resupply Method,Creating ammunition through technology trees,Engineering careers can manufacture specialized ammunition,Manufacturing quality depends on technology level,Technology-based ammunition production,Research and development ammunition creation
Combat_Integration_Reload_Actions,Combat Mechanic,Reloading weapons costs action points,Reloading interrupts combat flow,Reload times from weapon database affect tactical decisions,Action economy ammunition management,Weapon reload time integration
Combat_Integration_Ammunition_Tracking,Combat Mechanic,Track ammunition expenditure during combat,Characters can run out of ammunition,Empty weapons require reload or weapon switching,Tactical resource management,Ammunition consumption tracking during combat
Combat_Integration_Ammunition_Types,Combat Mechanic,Different ammunition provides different tactical options,Armor-piercing vs area effect vs incendiary,Ammunition choice affects combat strategy,Tactical ammunition selection,Ammunition effect integration
Investigation_Integration_Ballistics,Investigation Mechanic,Ammunition forensics and ballistic analysis,Different ammunition leaves different evidence,Ballistic evidence affects investigation outcomes,Investigation forensics integration,Ammunition forensic analysis
Investigation_Integration_Ammunition_Tracking,Investigation Mechanic,Ammunition purchases can be traced,Ammunition procurement creates paper trail,Ammunition purchases affect investigation vulnerability,Legal investigation integration,Ammunition purchase tracking and legal implications
Legal_Integration_Ammunition_Possession,Legal Framework,Legal restrictions on ammunition types,Different jurisdictions restrict different ammunition,Ammunition possession affects legal status,Legal system ammunition regulation,Jurisdiction-based ammunition laws
Legal_Integration_Ammunition_Use,Legal Framework,Legal consequences for ammunition use,Different ammunition creates different legal liability,Ammunition choice affects legal consequences,Legal consequence ammunition integration,Ammunition type affects legal liability
Economic_Integration_Ammunition_Costs,Economic System,Ammunition costs affect faction budget,Ammunition expenses scale with team size and mission frequency,Ammunition costs create economic tactical decisions,Economic system ammunition integration,Ammunition economic impact on faction resources
Supply_Chain_Integration,Logistical System,Ammunition supply affected by faction relationships,Allied nations provide ammunition; Enemy nations restrict supply,Political relationships affect ammunition availability,Political system ammunition integration,Geopolitical ammunition supply chain considerations
