Time_Type,Real_Time,Game_Time,Time_Ratio,Description,Strategic_Implications,Travel_Impact,Event_Processing,Combat_Resolution
Encounter_Alien_Contact,Random Event,Cosmic scale,0.1% chance during space travel,First contact or alien technology discovery,Reality-changing implications,Cannot avoid; Changes everything,Global panic possible,Alien LSW encounters
Status_Available,Character Status,Ready for assignment,Can be assigned to any activity,Character is ready for new assignments,Full strategic flexibility,Can travel anywhere,Can respond to all events,Available for all combat
Status_Busy,Character Status,Currently assigned,Cannot take new assignments until current activity completes,Character committed to current task,Limited strategic flexibility,Cannot travel until activity complete,Cannot respond to immediate events,Not available for combat
Status_Traveling,Character Status,In transit,Cannot take assignments; may encounter travel events,Character moving between locations,No availability until arrival,Travel time determines availability,May trigger travel encounters,May engage in travel combat
Status_Injured,Character Status,Requires medical attention,Can only be assigned to medical treatment,Character needs healing before other activities,Medical treatment priority required,No travel until healed,Cannot respond to physical events,Combat effectiveness severely reduced
Status_Hospitalized,Character Status,Extended medical care,Cannot be assigned to any activities,Character requires extended medical treatment,Complete unavailability,No travel possible,Cannot respond to any events,Not available for combat
Status_Missing,Character Status,Location unknown,Cannot be assigned; location must be discovered,Character disappeared or went off grid,Requires investigation to locate,Unknown location,Generates missing person events,Unknown combat status
Status_Dead,Character Status,Requires resurrection or replacement,Cannot be assigned unless cloned/resurrected,Character killed in action,Permanent loss unless special intervention,No travel,Generates funeral and replacement events,Requires cloning for return
Status_Undercover,Character Status,Deep cover operation,Limited availability; identity protected,Character maintaining false identity,Restricted communication,Travel limited to cover story,Limited event response,Combat risks identity exposure
Event_Priority_Critical,Event Type,Immediate response required,Must assign available characters within 2 hours real time,Critical threats requiring immediate intervention,Interrupts all other activities,Emergency travel authorized,Overrides other events,Emergency combat deployment
Event_Priority_High,Event Type,Response required within 24 hours,Must assign characters within 1 real day,High-priority situations needing quick response,High strategic importance,Priority travel arrangements,High event priority,Priority combat deployment
Event_Priority_Medium,Event Type,Response required within 72 hours,Must assign characters within 3 real days,Important situations requiring attention,Moderate strategic importance,Standard travel arrangements,Normal event priority,Standard combat deployment
Event_Priority_Low,Event Type,Response optional,Can be delayed or ignored,Optional opportunities or minor issues,Low strategic importance but may provide benefits,Flexible travel timing,Low event priority,Optional combat engagement
Event_Priority_Background,Event Type,Passive monitoring,Characters assigned to background monitoring,Ongoing situations requiring surveillance,Passive strategic value,No immediate travel required,Background event processing,No immediate combat
