Sector,CountryCode,CultureCode,CityName,Country,Population,PopulationRating,PopulationType,CityType1,CityType2,CityType3,CityType4,HVT,CrimeIndex,SafetyIndex,CityType
,13,2,Abomey-Calavi,Benin,1056440.00,5,City,Educational,Company,Industrial,,['Unknown Important Individual'],39.60,60.40,['Unknown']
,13,2,Cotonou,Benin,691949.00,5,City,Industrial,Political,Temple,Resort,['Unknown Important Individual'],37.82,62.18,['Unknown']
FB9,14,12,La Paz,Bolivia,1857797.00,6,Large City,Company,Industrial,Military,Educational,['Unknown Important Individual'],51.13,48.87,['Unknown']
FI0,14,12,Santa Cruz,Bolivia,1712688.00,6,Large City,Industrial,Political,Company,Temple,['Unknown Important Individual'],58.75,41.25,['Unknown']
FI0,14,12,Cochabamba,Bolivia,1303907.00,5,City,Resort,Temple,Mining,,['Unknown Important Individual'],66.84,33.16,['Unknown']
GA4,15,12,Sao Paulo,Brazil,22043028.00,7,Mega City,Industrial,Political,Company,Educational,['Unknown Important Individual'],70.38,29.62,['Unknown']
GG5,15,12,Rio de Janeiro,Brazil,13458075.00,7,Mega City,Company,Military,Resort,Temple,['Unknown Important Individual'],77.52,22.48,['Unknown']
,15,12,Belo Horizonte,Brazil,6084430.00,6,Large City,Political,Mining,Company,,['Unknown Important Individual'],63.79,36.21,['Unknown']
,15,12,Brasilia,Brazil,4645843.00,6,Large City,Industrial,Company,Temple,,['Unknown Important Individual'],61.88,38.12,['Unknown']
,15,12,Porto Alegre,Brazil,4137417.00,6,Large City,Resort,Seaport,Company,,['Unknown Important Individual'],36.42,63.58,['Unknown']
GS4,15,12,Recife,Brazil,4127091.00,6,Large City,Industrial,Educational,Military,Seaport,['Unknown Important Individual'],76.09,23.91,['Unknown']
GM2,15,12,Fortaleza,Brazil,4073465.00,6,Large City,Seaport,Resort,Educational,,['Unknown Important Individual'],78.16,21.84,['Unknown']
GM4,15,12,Salvador,Brazil,3839076.00,6,Large City,Military,Resort,Seaport,,['Unknown Important Individual'],75.93,24.07,['Unknown']
GA5,15,12,Curitiba,Brazil,3678732.00,6,Large City,Temple,Educational,Political,,['Unknown Important Individual'],63.10,36.90,['Unknown']
,15,12,Campinas,Brazil,3300794.00,6,Large City,Industrial,Mining,,,['Unknown Important Individual'],66.33,33.67,['Unknown']
,15,12,Goiania,Brazil,2690011.00,6,Large City,Company,Resort,,,['Unknown Important Individual'],67.85,32.15,['Unknown']
GA0,15,12,Belem,Brazil,2334462.00,6,Large City,Mining,Company,,,['Unknown Important Individual'],77.57,22.43,['Unknown']
,15,12,Manaus,Brazil,2260788.00,6,Large City,Educational,Resort,Company,Temple,['Unknown Important Individual'],72.08,27.92,['Unknown']
,15,12,Grande Vitoria,Brazil,2075857.00,6,Large City,Industrial,Educational,Political,,['Unknown Important Individual'],41.94,58.06,['Unknown']
GA4,15,12,Baixada Santista,Brazil,1892314.00,6,Large City,Industrial,Company,Temple,,['Unknown Important Individual'],63.21,36.79,['Unknown']
GG1,15,12,Grande Sao Luis,Brazil,1485763.00,5,City,Resort,Mining,,,['Unknown Important Individual'],77.37,22.63,['Unknown']
GS4,15,12,Natal,Brazil,1456844.00,5,City,Seaport,,,,['Unknown Important Individual'],79.21,20.79,['Unknown']
GS4,15,12,Joao Pessoa,Brazil,1378249.00,5,City,Seaport,Resort,,,['Unknown Important Individual'],69.20,30.80,['Unknown']
GM3,15,12,Maceio,Brazil,1323039.00,5,City,Resort,Company,Industrial,,['Unknown Important Individual'],76.16,23.84,['Unknown']
GA5,15,12,Joinville,Brazil,1303141.00,5,City,Industrial,Company,,,['Unknown Important Individual'],49.80,50.29,['Unknown']
GA5,15,12,Florianopolis,Brazil,1239331.00,5,City,Temple,Mining,Resort,,['Unknown Important Individual'],54.19,45.81,['Unknown']
GG1,15,12,Teresina,Brazil,1021229.00,5,City,Seaport,,,,['Unknown Important Individual'],78.34,21.66,['Unknown']
GM4,15,12,Aracaju,Brazil,1009380.00,5,City,Resort,Political,Seaport,,['Unknown Important Individual'],60.47,39.53,['Unknown']
FU2,15,12,Campo Grande,Brazil,896864.00,5,City,Industrial,Mining,,,['Unknown Important Individual'],54.57,45.43,['Unknown']
FU3,15,12,Londrina,Brazil,885516.00,5,City,,,,,['Unknown Important Individual'],54.91,45.09,['Unknown']
GA4,15,12,Sorocaba,Brazil,785997.00,5,City,Industrial,Temple,,,['Unknown Important Individual'],49.73,50.27,['Unknown']
GG5,15,12,Sao Jose dos Campos,Brazil,721795.00,5,City,Seaport,Company,,,['Unknown Important Individual'],65.44,34.56,['Unknown']
GA4,15,12,Ribeirao Preto,Brazil,714111.00,5,City,Industrial,Military,,,['Unknown Important Individual'],69.59,30.41,['Unknown']
GA3,15,12,Uberlandia,Brazil,686896.00,5,City,Temple,Resort,Educational,,['Unknown Important Individual'],69.38,30.62,['Unknown']
GA4,15,12,Jundiai,Brazil,678521.00,5,City,Educational,Company,,,['Unknown Important Individual'],50.84,49.16,['Unknown']
GM4,15,12,Feira De Santana,Brazil,602128.00,5,City,Resort,Temple,Mining,,['Unknown Important Individual'],53.19,46.81,['Unknown']
FU1,15,12,Cuiaba,Brazil,588566.00,5,City,Temple,,,,['Unknown Important Individual'],68.75,31.25,['Unknown']
GG5,15,12,Juiz De Fora,Brazil,575481.00,5,City,Educational,Company,,,['Unknown Important Individual'],51.28,48.72,['Unknown']
GG4,15,12,Vale do Aco,Brazil,521744.00,5,City,Company,,,,['Unknown Important Individual'],59.31,40.69,['Unknown']
FH8,15,12,Porto Velho,Brazil,510419.00,5,City,Company,Temple,,,['Unknown Important Individual'],36.42,63.58,['Unknown']
,,9,Sofia,Bulgaria,1280968.00,5,City,Educational,Company,Industrial,,['Unknown Important Individual'],41.76,58.24,['Unknown']
,,2,Ouagadougou,Burkina Faso,2780331.00,6,Large City,Company,Educational,Temple,,['Unknown Important Individual'],43.73,56.27,['Unknown']
,,2,Bobo-Dioulasso,Burkina Faso,972124.00,5,City,Industrial,Resort,Company,,['Unknown Important Individual'],38.30,61.70,['Unknown']
,,2,Bujumbura,Burundi,1012996.00,5,City,Industrial,Company,Resort,Military,['Unknown Important Individual'],35.15,64.85,['Unknown']
,,2,Phnom Penh,Cambodia,2077757.00,6,Large City,Industrial,Company,Educational,Temple,['Unknown Important Individual'],53.71,46.29,['Unknown']
,,2,Yaounde,Cameroon,3992411.00,6,Large City,Company,Military,Industrial,Educational,['Unknown Important Individual'],47.72,52.28,['Unknown']
,,2,Douala,Cameroon,3663227.00,6,Large City,Political,Company,Industrial,Educational,['Unknown Important Individual'],74.43,25.57,['Unknown']
,,2,Bamenda,Cameroon,533257.00,5,City,Mining,Company,Educational,,['Unknown Important Individual'],63.24,36.76,['Unknown']
EO4,16,14,Toronto,Canada,6196731.00,6,Large City,Industrial,Company,Educational,Political,['Unknown Important Individual'],39.84,60.16,['Unknown']
EU4,16,14,Montreal,Canada,4220566.00,6,Large City,Company,Industrial,Temple,Military,['Unknown Important Individual'],29.15,70.85,['Unknown']
CR4,16,14,Vancouver,Canada,2581079.00,6,Large City,Industrial,Company,Temple,Mining,['Unknown Important Individual'],36.45,63.55,['Unknown']
CX5,16,14,Calgary,Canada,1547484.00,6,Large City,Resort,Company,Temple,Industrial,['Unknown Important Individual'],34.49,65.51,['Unknown']
CX4,16,14,Edmonton,Canada,1461182.00,5,City,Educational,Temple,Resort,,['Unknown Important Individual'],42.61,57.39,['Unknown']
EU4,16,14,Ottawa,Canada,1393086.00,5,City,Resort,Political,Company,,['Unknown Important Individual'],25.85,74.15,['Unknown']
FA5,16,14,Quebec City,Canada,826109.00,5,City,Resort,Industrial,Company,,['Unknown Important Individual'],14.76,85.24,['Unknown']
DV9,16,14,Winnipeg,Canada,816593.00,5,City,Industrial,Company,,,['Unknown Important Individual'],56.94,43.06,['Unknown']
EO4,16,14,Hamilton,Canada,766688.00,5,City,Temple,Resort,Seaport,,['Unknown Important Individual'],52.29,47.71,['Unknown']
EO4,16,14,Kitchener,Canada,562466.00,5,City,Educational,Company,,,['Unknown Important Individual'],37.13,62.87,['Unknown']
EO4,16,14,London,Canada,508230.00,5,City,Resort,Political,Educational,,['Unknown Important Individual'],47.53,52.47,['Unknown']
,,2,Bangui,Central African Republic,889231.00,5,City,Industrial,Company,Political,,['Unknown Important Individual'],82.11,17.89,['Unknown']
,97,2,N-Djamena,Chad,1422547.00,5,City,Company,Industrial,,,['Unknown Important Individual'],62.25,37.75,['Unknown']
,98,12,Santiago,Chile,6767223.00,6,Large City,Educational,Military,Political,Company,['Unknown Important Individual'],55.17,44.83,['Unknown']
,98,12,Valparaiso,Chile,983751.00,5,City,Company,Temple,Educational,,['Unknown Important Individual'],63.18,36.82,['Unknown']
,98,12,Concepcion,Chile,880722.00,5,City,Industrial,Company,Resort,,['Unknown Important Individual'],47.78,52.22,['Unknown']
,18,12,Bogota,Colombia,10978360.00,7,Mega City,Political,Industrial,Company,Educational,['Unknown Important Individual'],62.81,37.19,['Unknown']
EV3,18,12,Medellin,Colombia,4000263.00,6,Large City,Company,Educational,Industrial,Political,['Unknown Important Individual'],51.37,48.63,['Unknown']
EV4,18,12,Cali,Colombia,2781980.00,6,Large City,Industrial,Resort,Temple,,['Unknown Important Individual'],65.28,34.72,['Unknown']
EV2,18,12,Barranquilla,Colombia,2272914.00,6,Large City,Company,Mining,Military,Educational,['Unknown Important Individual'],57.14,42.86,['Unknown']
EV3,18,12,Bucaramanga,Colombia,1331453.00,5,City,Industrial,Resort,,,['Unknown Important Individual'],42.98,57.02,['Unknown']
EV2,18,12,Cartagena,Colombia,1062622.00,5,City,Seaport,Industrial,Company,,['Unknown Important Individual'],53.24,46.76,['Unknown']
EV3,18,12,Cucuta,Colombia,933380.00,5,City,Resort,Temple,,,['Unknown Important Individual'],65.07,34.93,['Unknown']
EV4,18,12,Ibague,Colombia,586187.00,5,City,Company,Mining,,,['Unknown Important Individual'],42.70,57.30,['Unknown']
EV3,18,12,Pereira,Colombia,579620.00,5,City,Educational,Temple,,,['Unknown Important Individual'],33.20,66.80,['Unknown']
EV4,18,12,Villavicencio,Colombia,544115.00,5,City,Resort,,,,['Unknown Important Individual'],72.55,27.45,['Unknown']
EV2,18,12,Valledupar,Colombia,533453.00,5,City,Company,Educational,,,['Unknown Important Individual'],55.77,44.23,['Unknown']
EV2,18,12,Santa Marta,Colombia,527326.00,5,City,Political,Resort,Seaport,Industrial,['Unknown Important Individual'],48.94,51.06,['Unknown']
,,8,San Jose,Costa Rica,1399629.00,5,City,Political,Industrial,Company,,['Unknown Important Individual'],46.53,53.47,['Unknown']
,,10,Zagreb,Croatia,684878.00,5,City,Company,Educational,,,['Unknown Important Individual'],22.28,77.72,['Unknown']
EI8,,8,Havana,Cuba,2140423.00,6,Large City,Industrial,Resort,Political,Military,['Unknown Important Individual'],29.06,70.94,['Unknown']
IU0,,9,Prague,Czech Republic,1305737.00,5,City,Company,Resort,Political,,['Unknown Important Individual'],24.16,75.84,['Unknown']
,,9,Copenhagen,Denmark,1346485.00,5,City,Industrial,Company,Educational,,['Unknown Important Individual'],27.54,72.46,['Unknown']
,,1,Djibouti,Djibouti,576157.00,5,City,Temple,Educational,Resort,,['Unknown Important Individual'],67.30,32.70,['Unknown']
,,12,Santo Domingo,Dominican Republic,3317784.00,6,Large City,Company,Industrial,Political,Educational,['Unknown Important Individual'],66.82,33.18,['Unknown']
,,12,Santiago,Dominican Republic,664575.00,5,City,Resort,Mining,,,['Unknown Important Individual'],55.17,44.83,['Unknown']
IV2,19,2,Kinshasa,DR Congo,14342439.00,7,Mega City,Company,Industrial,Educational,Political,['Unknown Important Individual'],80.28,19.72,['Unknown']
,19,2,Mbuji-Mayi,DR Congo,2525263.00,6,Large City,Mining,Political,,,['Unknown Important Individual'],67.57,31.32,['Unknown']
,19,2,Lubumbashi,DR Congo,2478262.00,6,Large City,Company,Political,Military,Mining,['Unknown Important Individual'],65.51,34.19,['Unknown']
,19,2,Kananga,DR Congo,1458400.00,5,City,Industrial,Company,,,['Unknown Important Individual'],73.41,26.59,['Unknown']
JH3,19,2,Kisangani,DR Congo,1261310.00,5,City,Mining,Resort,,,['Unknown Important Individual'],68.32,31.68,['Unknown']
,19,2,Bukavu,DR Congo,1078002.00,5,City,Educational,Company,,,['Unknown Important Individual'],69.62,30.38,['Unknown']
,19,2,Tshikapa,DR Congo,919192.00,5,City,Political,Industrial,,,['Unknown Important Individual'],63.66,36.34,['Unknown']
,19,2,Bunia,DR Congo,679418.00,5,City,Educational,Company,,,['Unknown Important Individual'],73.24,26.76,['Unknown']
,19,2,Goma,DR Congo,634197.00,5,City,Temple,Company,,,['Unknown Important Individual'],67.57,34.41,['Unknown']
,19,2,Uvira,DR Congo,589731.00,5,City,Resort,,,,['Unknown Important Individual'],65.23,34.77,['Unknown']
,19,2,Likasi,DR Congo,567839.00,5,City,Educational,Company,Temple,,['Unknown Important Individual'],67.57,34.41,['Unknown']
JB3,19,2,Kikwit,DR Congo,507462.00,5,City,Company,Political,Mining,,['Unknown Important Individual'],68.57,33.41,['Unknown']
,,8,Guayaquil,Ecuador,2994218.00,6,Large City,Company,Educational,Seaport,Political,['Unknown Important Individual'],66.63,33.37,['Unknown']
,,8,Quito,Ecuador,1873763.00,6,Large City,Political,Educational,,,['Unknown Important Individual'],59.33,40.67,['Unknown']
JM8,20,1,Cairo,Egypt,20900604.00,7,Mega City,Industrial,Company,Temple,Seaport,['Unknown Important Individual'],49.97,50.03,['Unknown']
JM8,20,1,Alexandria,Egypt,5280664.00,6,Large City,Industrial,Political,Educational,Military,['Unknown Important Individual'],39.06,60.94,['Unknown']
,20,1,Bur Sa'id,Egypt,737000.00,5,City,Temple,Mining,,,['Unknown Important Individual'],20.59,79.41,['Unknown']
,20,1,As-Suways,Egypt,638229.00,5,City,Educational,Industrial,,,['Unknown Important Individual'],42.65,57.35,['Unknown']
,20,1,Al-Mansurah,Egypt,555621.00,5,City,Company,,,,['Unknown Important Individual'],46.68,53.32,['Unknown']
,20,1,Al-Mahallah al-Kubra,Egypt,517549.00,5,City,Industrial,Educational,,,['Unknown Important Individual'],30.02,69.98,['Unknown']
,20,1,Tanta,Egypt,501423.00,5,City,Resort,Temple,,,['Unknown Important Individual'],34.41,65.59,['Unknown']
,,8,San Salvador,El Salvador,1105766.00,5,City,Political,Educational,Company,,['Unknown Important Individual'],72.45,27.55,['Unknown']
,,1,Asmara,Eritrea,962985.00,5,City,Company,Resort,,,['Unknown Important Individual'],15.74,84.26,['Unknown']
,21,1,Addis Ababa,Ethiopia,4793699.00,6,Large City,Industrial,Company,Educational,Political,['Unknown Important Individual'],47.89,52.11,['Unknown']
,21,1,Mekele,Ethiopia,523914.00,5,City,Resort,Company,,,['Unknown Important Individual'],46.42,53.58,['Unknown']
,,9,Helsinki,Finland,1304851.00,5,City,Seaport,Industrial,,,['Unknown Important Individual'],25.27,74.73,['Unknown']
IH9,22,9,Paris,France,11017230.00,7,Mega City,Educational,Company,Political,Resort,['Unknown Important Individual'],53.19,46.81,['Unknown']
IH9,22,9,Lyon,France,1719268.00,6,Large City,Industrial,Political,Resort,Mining,['Unknown Important Individual'],45.14,54.86,['Unknown']
II0,22,9,Marseille,France,1608236.00,6,Large City,Company,Educational,Political,Resort,['Unknown Important Individual'],58.95,41.05,['Unknown']
,22,9,Lille,France,1063085.00,5,City,Company,Mining,Educational,,['Unknown Important Individual'],49.67,50.33,['Unknown']
II0,22,9,Toulouse,France,1024166.00,5,City,Company,Temple,Resort,,['Unknown Important Individual'],46.13,53.87,['Unknown']
,22,9,Bordeaux,France,968993.00,5,City,Educational,Company,,,['Unknown Important Individual'],43.38,56.62,['Unknown']
,22,9,Nice,France,942208.00,5,City,Company,Educational,,,['Unknown Important Individual'],40.99,59.01,['Unknown']
,22,9,Nantes,France,677766.00,5,City,Seaport,Resort,Temple,,['Unknown Important Individual'],55.90,44.10,['Unknown']
,22,9,Toulon,France,579095.00,5,City,Industrial,Educational,Military,,['Unknown Important Individual'],42.97,57.03,['Unknown']
,22,9,Grenoble,France,527720.00,5,City,Temple,Educational,Resort,,['Unknown Important Individual'],51.36,48.64,['Unknown']
,22,9,Douai-Lens,France,500776.00,5,City,Resort,Mining,,,['Unknown Important Individual'],49.01,50.99,['Unknown']
,,2,Libreville,Gabon,834204.00,5,City,Political,Seaport,,,['Unknown Important Individual'],51.59,48.41,['Unknown']
,,9,Tbilisi,Georgia,1077833.00,5,City,Resort,Temple,Company,,['Unknown Important Individual'],23.41,76.59,['Unknown']
,23,9,Berlin,Germany,3562038.00,6,Large City,Educational,Political,Company,Temple,['Unknown Important Individual'],41.14,58.86,['Unknown']
IN8,23,9,Hamburg,Germany,1789954.00,6,Large City,Company,Industrial,Resort,,['Unknown Important Individual'],43.26,56.74,['Unknown']
,23,9,Munich,Germany,1538302.00,6,Large City,Company,Mining,Military,,['Unknown Important Individual'],17.65,82.35,['Unknown']
IN9,23,9,Cologne,Germany,1118789.00,5,City,Resort,Temple,,,['Unknown Important Individual'],43.13,56.87,['Unknown']
IN9,23,9,Frankfurt,Germany,777156.00,5,City,Industrial,Company,,,['Unknown Important Individual'],41.88,58.12,['Unknown']
,23,9,Stuttgart,Germany,632692.00,5,City,Temple,Company,,,['Unknown Important Individual'],28.76,71.24,['Unknown']
,23,9,Duesseldorf,Germany,631942.00,5,City,Educational,Temple,,,['Unknown Important Individual'],31.02,68.98,['Unknown']
IU0,23,9,Leipzig,Germany,591052.00,5,City,Company,Industrial,,,['Unknown Important Individual'],42.14,57.86,['Unknown']
,23,9,Dortmund,Germany,589600.00,5,City,Seaport,Resort,Industrial,,['Unknown Important Individual'],44.30,55.70,['Unknown']
IN9,23,9,Essen,Germany,582128.00,5,City,Company,Mining,,,['Unknown Important Individual'],46.91,53.09,['Unknown']
IU0,23,9,Dresden,Germany,575476.00,5,City,Educational,Political,,,['Unknown Important Individual'],29.74,70.26,['Unknown']
IN8,23,9,Bremen,Germany,565354.00,5,City,Temple,Company,,,['Unknown Important Individual'],41.52,58.48,['Unknown']
IN8,23,9,Hannover,Germany,536976.00,5,City,Resort,Company,,,['Unknown Important Individual'],41.86,58.14,['Unknown']
,23,9,Duisburg,Germany,515076.00,5,City,Industrial,Educational,,,['Unknown Important Individual'],43.81,56.19,['Unknown']
,23,9,Nurenberg,Germany,511941.00,5,City,Political,Resort,,,['Unknown Important Individual'],30.50,79.50,['Unknown']
,24,2,Kumasi,Ghana,3348062.00,6,Large City,Company,Industrial,Educational,Political,['Unknown Important Individual'],40.75,59.25,['Unknown']
,24,2,Accra,Ghana,2514005.00,6,Large City,Industrial,Company,Resort,,['Unknown Important Individual'],47.18,52.82,['Unknown']
,24,2,Sekondi Takoradi,Ghana,945519.00,5,City,Company,Industrial,Educational,,['Unknown Important Individual'],48.52,51.48,['Unknown']
,24,2,Tamale,Ghana,641911.00,5,City,Resort,Mining,Company,,['Unknown Important Individual'],49.50,51.50,['Unknown']
,93,10,Athens,Greece,3153355.00,6,Large City,Industrial,Company,Educational,,['Unknown Important Individual'],52.30,47.70,['Unknown']
,93,10,Thessaloniki,Greece,812166.00,5,City,Educational,Company,,,['Unknown Important Individual'],47.58,52.42,['Unknown']
,,,Guatemala City,Guatemala,2934841.00,6,Large City,Political,Industrial,,,['Unknown Important Individual'],62.28,37.72,['Unknown']
,94,,Conakry,Guinea,1938272.00,6,Large City,Company,Industrial,Educational,Political,['Unknown Important Individual'],66.91,33.09,['Unknown']
,,,Bissau,Guinea-Bissau,599714.00,5,City,Company,Mining,,,['Unknown Important Individual'],51.47,48.53,['Unknown']
,,8,Port-au-Prince,Haiti,2773553.00,6,Large City,Seaport,Temple,Company,Political,['Unknown Important Individual'],71.52,28.48,['Unknown']
,95,8,Tegucigalpa,Honduras,1444085.00,5,City,Educational,Industrial,,,['Unknown Important Individual'],74.56,25.44,['Unknown']
,95,8,San Pedro Sula,Honduras,902751.00,5,City,Political,Mining,,,['Unknown Important Individual'],80.04,19.96,['Unknown']
,92,6,Hong Kong,Hong Kong,7547652.00,6,Large City,Educational,Industrial,Company,,['Unknown Important Individual'],21.73,78.27,['Unknown']
,,,Budapest,Hungary,1768073.00,6,Large City,Industrial,Company,Temple,,['Unknown Important Individual'],36.05,63.95,['Unknown']
LP8,25,5,Delhi,India,30290936.00,7,Mega City,Industrial,Company,Educational,Political,['Unknown Important Individual'],59.18,40.82,['Unknown']
LQ0,25,5,Mumbai,India,20411274.00,7,Mega City,Political,Educational,Company,Temple,['Unknown Important Individual'],43.15,56.85,['Unknown']
,25,5,Kolkata,India,14850066.00,7,Mega City,Political,Resort,Industrial,Mining,['Unknown Important Individual'],47.82,52.18,['Unknown']
,25,5,Bangalore,India,12326532.00,7,Mega City,Temple,Company,Resort,Educational,['Unknown Important Individual'],54.11,45.89,['Unknown']
LW2,25,5,Chennai,India,10971108.00,7,Mega City,Military,Resort,Seaport,Industrial,['Unknown Important Individual'],40.22,59.78,['Unknown']
,25,5,Hyderabad,India,10004144.00,7,Mega City,Mining,Company,Educational,Political,['Unknown Important Individual'],43.96,56.04,['Unknown']
