Country Code,Country,President,,Population,PopulationRating,Motto,Nationalities,GovernmentStructureType,GovernmentPreception,GovermentCorruption,PresidentialTerm,LeaderTitleType,MilitaryServices,MilitaryBudget,IntelligenceServices,IntelligenceBudget,CapitalPunishmentType,MediaFreedom ,LawEnforcement,LawEnforcementBudget,GDPNational,GDPPerCaptia,Healthcare,HigherEducation,SocialDevopment,Lifestyle,TerrorismActivity,CyberCapabilities ,DigitalDevelopment,Science,Cloning,LSWActivity,LSWRegulations,Vigilantism,Gender
89,Netherlands,Henk Klaassens,,17134872,48,I will maintain,Dutchman,Democracy,Full Democracy,83,4,Monarch,51,59,20,44,Inactive,90,19,52,67,85,90,90,90,90,20,83,88,70,Banned,31,Regulated,Banned,Male
68,United Kingdom,Jessica Hyde,,67886011,57,God and my right,British,Constitutional Monarchy,Full Democracy,78,5,Monarch,75,78,60,70,Inactive,78,56,68,80,79,90,90,90,90,47,79,84,79,Banned,65,Regulated,Banned,Female
61,Taiwan,,,23816775,51,None,Taiwanese,Multiparty Democracy,Full Democracy,66,4,President,63,63,40,52,Active,76,42,53,63,64,90,88,90,88,20,69,79,24,Banned,39,Legal,Banned,
59,Switzerland,,,8654622,43,"One for all, all for one",Swede,Federal Republic,Full Democracy,89,4,President of the Confederation,53,59,30,48,Inactive,89,18,54,65,90,90,90,90,90,25,76,89,73,Banned,28,Regulated,Regulated,
58,Sweden,,,10099265,45,For Sweden – in the time,Swazi,Constitutional Monarchy,Full Democracy,86,4,Monarch,54,58,20,41,Inactive,90,45,65,62,85,90,90,90,90,20,83,87,68,Banned,20,Legal,Banned,
55,Spain,,,46754778,56,Further beyond,Spaniard, 	Parliamentary Monarchy,Full Democracy,64,0,Monarch,64,67,40,55,Inactive,79,12,39,70,65,85,83,90,88,28,87,73,79,Banned,57,Regulated,Banned,
54,South Korea,,,51269185,56,To broadly benefit the human world,South Korean,Republic,Full Democracy,62,5,President,77,74,80,76,Inactive,76,16,41,71,66,85,86,90,90,0,68,72,72,Banned,58,Legal,Banned,
51,Singapore,,,5850342,39,Onward Singapore,Singaporean,Parliamentary Republic,Full Democracy,86,6,President,50,53,20,38,Active,44,37,62,56,87,90,84,90,88,0,63,81,63,Regulated,29,Legal,Banned,
35,Japan,,,126476461,70,None,Japanese,Constitutional Monarchy,Full Democracy,76,4,Emperor,78,82,80,83,Active,71,82,79,86,76,85,85,90,90,20,63,79,78,Banned,42,Legal,Banned,
30,Israel,,,8655535,43,"If you will it, it is no dream",Israeli,Parliamentary democracy,Flawed Democracy,61,7,President,65,61,50,54,Inactive,69,47,63,57,79,90,88,90,84,47,67,75,66,Banned,24,Legal,Banned,
29,Ireland,,,4937786,37,Ireland forever,Irish,Parliamentary democracy,Full Democracy,73,7,President,31,44,20,39,Inactive,88,75,82,57,88,90,90,90,88,20,63,76,58,Banned,32,Regulated,Banned,
23,Germany,Jurgen Worns,,83783942,57,Unity and justice and freedom,German,Federal Republic,Full Democracy,81,5,President,67,76,60,73,Inactive,84,43,61,85,79,90,90,90,90,47,90,82,75,Banned,67,Legal,Banned,Male
22,France,,,65273511,57,"Liberty, equality, fraternity",French,Republic,Flawed Democracy,68,5,President,76,78,60,70,Inactive,77,45,62,80,79,80,81,90,90,45,82,78,77,Banned,33,Regulated,Banned,
16,Canada,John Stone,,37742154,52,From sea to sea,Canadian,Constitutional Monarchy,Full Democracy,76,5,Governor General,54,63,40,56,Inactive,84,72,77,71,82,90,89,90,90,38,66,77,74,Banned,51,Legal,Banned,Male
12,Belgium,,,11589623,47,Unity makes strength ,Belgian,Constitutional Monarchy,Flawed Democracy,76,5,Monarch,42,52,20,41,Inactive,88,42,62,61,81,90,89,90,90,20,90,75,69,Banned,20,Regulated,Regulated,
6,Australia,,,25499884,51,Advance Australia,Aussie,Parliamentary democracy,Full Democracy,78,5,Governor-General,66,69,40,56,Inactive,80,34,60,71,85,90,90,90,88,24,66,78,72,Banned,41,Regulated,Regulated,
154,Estonia,Hele Koppel,,1326535,30,None,Estonian,Parliamentary Republic,Flawed Democracy,76,5,President,29,37,20,32,Inactive,84,32,48,44,63,54,88,89,83,0,90,76,39,Legal,27,Regulated,Banned,Female
67,United Arab Emirates,,,9890402,44,"God, Nation,President",Emirian,Emirate,Authoritarian Regime,72,0,President,51,54,20,38,Active,56,59,69,56,78,75,80,89,84,0,40,68,40,Banned,20,Regulated,Banned,
31,Italy,Paolo Protti,,60461826,57,"Union, Strength and Liberty!",Italian,Republic,Flawed Democracy,57,7,President,72,76,40,60,Inactive,76,35,52,80,68,80,79,89,87,36,79,68,75,Banned,32,Legal,Banned,Male
123,Lithuania,Rita Kazarina,,2722289,32,"Freedom, Unity, Prosperity",Lithuanian,Parliamentary democracy,Flawed Democracy,61,5,President,34,40,20,33,Inactive,79,76,68,46,60,90,89,88,78,20,90,68,39,Banned,29,Regulated,Regulated,Female
93,Greece,,,10423054,46,Freedom or Death,Greek,Parliamentary Republic,Flawed Democracy,52,5,President,53,54,40,47,Inactive,70,56,59,54,61,75,84,88,83,48,90,64,63,Banned,75,Legal,Legal,
77,Poland,,,37846611,52,For our freedom and yours,Polish,Republic,Flawed Democracy,54,5,President,54,59,40,52,Inactive,71,14,37,63,59,85,86,88,82,0,86,66,68,Banned,52,Regulated,Banned,
165,Andorra ,Albert Zamora,,77284,20,Strength united is stronger,Andorran,Parliamentary democracy,Full Democracy,29,4,Co-Princes,22,28,20,27,Inactive,76,41,55,33,69,65,71,86,76,0,0,20,35,Banned,28,Regulated,Regulated,Male
160,Slovakia,Pavol Németh,,5459642,38,"Faithful to Ourselves, Together Ahead!",Slovak,Parliamentary democracy,Full Democracy,53,5,President,27,39,20,35,Inactive,76,16,38,50,60,90,82,86,81,0,83,66,50,Banned,34,Regulated,Regulated,Male
122,Latvia,Rolands Isakovs,,1886198,30,None,Latvian,Parliamentary democracy,Flawed Democracy,56,4,President,31,38,20,32,Inactive,80,84,72,44,59,90,88,86,81,0,75,67,20,Banned,23,Regulated,Regulated,Male
78,Portugal,,,10196709,46,This is my blissful beloved homeland,Portuguese,Parliamentary democracy,Flawed Democracy,61,5,President,47,51,20,38,Inactive,89,45,54,55,62,80,76,86,86,0,88,68,28,Banned,39,Legal,Regulated,
119,Hungary,László Varga,,9660351,44,With the help of God for Homeland and Freedom,Hungarian,Parliamentary democracy,Flawed Democracy,44,5,President,45,49,20,36,Inactive,68,64,62,52,59,75,82,85,83,0,64,65,58,Banned,24,Regulated,Banned,Male
98,Chile,,,19116201,49,Through Reason Or By Force,Chilean,Republic,Full Democracy,68,4,President,45,50,20,38,Rare,72,65,61,55,56,90,81,85,77,64,59,61,57,Regulated,35,Legal,Banned,
47,Saudi Arabia,,,34813871,52,There is no God other than God and Muhammad is the Messenger of God ,Saudi,Monarchy,Authoritarian Regime,53,0, King,63,64,40,52,Active,28,32,47,64,61,75,78,85,78,31,83,63,32,Regulated,49,Regulated,Banned,
9,Bahrain,,,1701575,30,None,Bahraini,Constitutional Monarchy,Authoritarian Regime,44,4, King,30,37,20,32,Active,35,90,76,44,62,75,76,85,77,21,25,66,20,Regulated,22,Banned,Banned,
7,Croatia,Damir Vukušić,,4105267,36,God and Croats,Croatian,Parliamentary democracy,Flawed Democracy,48,5,President,43,45,20,33,Inactive,72,65,60,46,54,75,80,85,80,0,0,65,48,Banned,33,Legal,Regulated,Male
79,Qatar,,,2881053,33,None,Qatari,Emirate,Authoritarian Regime,64,4,Emir,38,45,20,36,Active,57,34,61,52,87,70,65,84,82,0,58,64,20,Banned,20,Regulated,Regulated,
153,Brunei,Daniel Metusin,,437479,20,Always in service with God's guidance,Bruneian,Constitutional Monarchy,Authoritarian Regime,52,0,Monarch,23,32,20,31,Rare,50,87,76,41,65,65,70,83,38,0,41,67,32,Banned,22,Regulated,Regulated,Male
4,Argentina,,,45195564,54,In Union and Liberty,Argentinean,Republic,Flawed Democracy,41,4,President,49,53,20,39,Inactive,71,37,44,57,51,70,65,83,82,26,48,60,27,Banned,24,Regulated,Banned,
166,Montenegro,Petar Savčić,,628066,25,May Montenegro be eternal!,Montenegrin,Republic,Hybrid Regime,47,5,President,21,28,20,27,Inactive,65,36,42,34,47,75,80,82,39,0,35,57,24,Banned,31,Regulated,Regulated,Male
83,Kazakhstan,,,18776707,49,"Freedom, Unity, Progress!",Kazakhstani,Republic,Authoritarian Regime,38,5,President,43,48,40,47,Inactive,49,83,66,53,48,75,83,82,75,0,48,60,20,Banned,23,Legal,Regulated,
80,Romania,,,19237691,49,Nothing without God,Romanian,Republic,Flawed Democracy,45,5,President,51,53,20,38,Inactive,75,43,48,55,53,75,76,82,79,20,71,60,38,Banned,38,Regulated,Banned,
65,Turkey,,,84339067,58,Either independence or death,Turk ,Parliamentary Democracy,Hybrid Regime,36,5,President,70,67,60,62,Inactive,50,21,35,64,48,77,73,82,79,56,54,58,70,Banned,67,Banned,Banned,
45,Russia,Aleksei Rostov,,145934462,70,None,Russian,Federal Republic,Authoritarian Regime,28,6,President,86,81,90,83,Rare,47,49,50,76,51,75,82,82,82,42,71,64,78,Regulated,77,Banned,Banned,
11,Belarus,,,9449323,44,Long Live Belarus!,Belarusian,Dictatorship,Authoritarian Regime,42,5,President,46,46,20,33,Active,38,44,42,46,39,75,83,82,76,0,53,62,38,Legal,45,Regulated,Banned,
170,Uruguay,Santiago Sayago,,3473730,34,Liberty or Death,Uruguayan,Republic,Full Democracy,70,5,President,30,38,20,33,Inactive,83,38,49,46,59,82,76,81,77,20,48,63,34,Banned,27,Regulated,Regulated,Male
167,The Bahamas,Jada Bostwick,,393244,20,"Forward, Upward, Onward Together",Bahamian,Parliamentary Democracy,Full Democracy,62,5,Monarch,20,30,20,30,Inactive,68,29,48,39,67,68,74,81,69,0,20,65,28,Legal,28,Legal,Regulated,Female
156,Bulgaria,Trifon Gospodinov,,6948445,41,Unity makes strength,Bulgarian,Parliamentary democracy,Flawed Democracy,45,5,President,42,45,20,34,Inactive,62,71,61,48,50,75,79,81,79,0,74,62,42,Banned,23,Regulated,Regulated,Male
133,Panama,Sergio Penedo,,4314767,36,For the benefit of the world,Panamanian,Constitutional Democracy,Flawed Democracy,37,5,President,21,34,20,33,Inactive,70,16,37,46,58,70,70,81,78,0,29,48,25,Banned,26,Regulated,Regulated,Male
131,Oman,Said Al Alawi,,5106626,38,None,Omani,Constitutional Monarchy,Authoritarian Regime,53,4,Prime Minister,27,37,20,34,Active,56,21,37,47,53,75,71,81,76,0,45,60,37,Banned,20,Regulated,Regulated,Male
115,Georgia,Giorgi Inalishvili,,3989167,34,Strength is in Unity!,Georgian,Republic,Hybrid Regime,56,6,President,32,38,20,32,Inactive,71,41,40,43,38,75,86,81,69,0,51,53,25,Banned,28,Regulated,Banned,Male
104,Costa Rica,,,5094118,37,Pure Life,Costa Rican,Democratic Republic,Full Democracy,60,5,President,22,35,20,34,Inactive,90,43,48,47,52,86,72,81,76,0,53,59,24,Banned,20,Regulated,Regulated,
81,Malaysia,,,32365999,52,Unity is strength,Malaysian,Constitutional Monarchy,Flawed Democracy,50,5,Monarch,47,52,20,38,Active,60,35,43,56,51,80,72,81,82,22,79,62,29,Banned,48,Banned,Regulated,
135,Serbia,Jovana Nikolić,,8737371,43,Only Unity Saves the Serbs,Serbian,Republic,Flawed Democracy,39,5,President,43,45,20,33,Inactive,67,76,58,46,39,75,78,80,74,0,,75,49,Banned,26,Regulated,Regulated,Female
86,Kuwait,,,4270571,36,"God, The Nation, The Emir",Kuwaiti,Constitutional emirate,Authoritarian Regime,45,4,Monarch,41,46,20,35,Active,65,84,75,50,66,70,63,80,79,0,61,66,20,Banned,36,Banned,Regulated,
157,Albania,Gezim Dushku ,,2877247,33,"You, Albania, give me honour, give me the name Albanian",Albanian,Parliamentary democracy,Flawed Democracy,35,5,President,28,35,20,31,Inactive,69,46,43,42,39,70,74,79,69,0,48,48,43,Banned,31,Regulated,Regulated,Male
137,Trinidad and Tobago,Sheldon Cato,,1399488,30,"Together we aspire, together we achieve",Trinidadian and Tobagonian,Parliamentary Democracy,Flawed Democracy,40,5,President,24,34,20,32,Inactive,78,53,56,43,58,75,72,79,69,0,33,52,26,Banned,26,Regulated,Regulated,Male
155,Bosnia and Herzegovina,Ferid Adžić,,3280819,34,None,Bosnian and Herzegovinian,Federal Republic,Hybrid Regime,47,4,Presidency Member,24,34,20,32,Inactive,71,31,35,43,39,65,68,78,69,0,29,49,26,Banned,26,Regulated,Regulated,Male
105,Cuba,,,11326616,46,Fatherland or death,Cuban,Communist state,Authoritarian Regime,47,5,President,41,46,20,35,Active,36,46,44,50,42,65,79,78,73,0,20,29,37,Banned,31,Regulated,Regulated,
69,United States,,,331002651,82,In God We Trust ,American,Federal Republic,Flawed Democracy,69,4,President,90,90,90,90,Active,76,48,68,90,87,90,90,78,89,49,79,83,90,Banned,85,Legal,Banned,
56,Sri Lanka,,,21413249,50,None,Sri Lankan,Republic,Flawed Democracy,39,5,President,38,44,20,35,Rare,57,18,27,49,36,65,74,78,73,54,42,43,25,Banned,39,Legal,Regulated,
27,Iran,,,83992949,58,God is the Greatest,Iranian,Theocratic Republic,Authoritarian Regime,26,0,Supreme Leader,69,69,60,65,Active,32,56,47,69,38,59,75,78,73,50,20,51,70,Legal,67,Legal,Banned,
161,North Macedonia,Stefan Jordanov,,2083374,31,None,North Macedonian,Parliamentary democracy,Hybrid Regime,41,5,President,20,31,20,31,Inactive,68,36,38,41,39,70,70,77,72,0,55,55,26,Banned,21,Regulated,Banned,Male
66,Ukraine,,,43733762,54, Glory to Ukraine! Glory to the heroes! ,Ukrainian,Republic,Hybrid Regime,31,5,President,57,55,40,46,Inactive,67,23,30,52,36,77,79,77,79,23,75,55,32,Banned,55,Regulated,Banned,
64,Thailand,,,69799978,57,"Nation, Religion,King",Thai,Constitutional Monarchy,Flawed Democracy,34,4,Monarch,54,42,20,25,Inactive,54,34,38,30,42,70,68,77,83,57,64,56,35,Banned,66,Banned,Banned,
43,Peru,,,32971854,52,Steady and happy for the union,Peruvian,Constitutional Republic,Flawed Democracy,36,5,President,47,51,20,38,Rare,68,34,38,55,41,75,74,77,79,44,40,48,39,Regulated,48,Regulated,Regulated,
36,Mexico,Ricardo Ortega,,128932753,70,The Homeland is First,Mexican,Federal Republic,Flawed Democracy,34,6,President,49,60,20,45,Inactive,53,82,66,70,49,75,70,77,81,24,37,52,65,Banned,77,Regulated,Banned,Male
33,China,Qiang Zhang ,,1439323776,90,Serve The People!,Chinese,Communist state,Authoritarian Regime,77,5,President,84,86,90,89,Active,21,67,59,87,51,75,65,76,83,20,82,69,81,Regulated,90,Regulated,Banned,Male
18,Colombia,,,50882891,56,Freedom and order,Colombian,Republic,Flawed Democracy,37,4,President,48,52,20,38,Inactive,56,17,28,55,39,65,68,76,77,70,46,52,50,Regulated,57,Regulated,Banned,
15,Brazil,Mattheus De Souza,,212559417,75,Order and progress,Brazilian,Federal Republic,Flawed Democracy,36,4,President,73,75,20,49,Rare,63,68,58,77,48,75,67,76,82,20,46,58,71,Banned,81,Regulated,Banned,Male
5,Armenia,,,2963563,34,"One Nation, One Culture",Armenian,Republic,Hybrid Regime,50,7,President,30,36,20,31,Inactive,71,32,35,41,37,75,83,76,62,0,35,55,23,Banned,41,Regulated,Regulated,
158,Moldova,Petru Moldovanu ,,4033963,35,None,Moldovan,Republic,Hybrid Regime,38,4,President,31,36,20,31,Inactive,68,37,37,41,36,65,71,75,72,0,50,56,20,Banned,23,Regulated,Regulated,Male
110,Ecuador,,,17643054,48,"God, homeland, and freedom",Ecuadorean,Republic,Flawed Democracy,48,4,President,42,46,20,35,Inactive,67,56,48,49,39,65,70,75,76,27,35,45,24,Banned,20,Banned,Regulated,
109,Dominican Republic,,,10847910,46,"God, Fatherland, Liberty",Dominican,Republic,Flawed Democracy,32,4,President,25,37,20,35,Inactive,74,25,34,49,43,65,66,75,58,0,53,45,23,Banned,20,Regulated,Regulated,
8,Azerbaijan,,,10139177,46,The Land of Fire,Azerbaijani,Republic,Authoritarian Regime,30,7,President,44,45,20,33,Inactive,49,28,33,46,37,65,71,75,71,0,37,54,21,Banned,23,Regulated,Regulated,
169,Fiji,Penaia Leawere,,896445,28,Fear God and honour the Queen,Fijian,Republic,Hybrid Regime,56,3,President,21,27,20,27,Inactive,72,21,30,33,39,65,76,74,72,0,20,30,20,Banned,20,Regulated,Regulated,Male
99,Tunisia,,,11818619,47,"Liberty, Dignity, Justice, Order",Tunisian,Republic,Flawed Democracy,45,5,President,40,42,20,32,Rare,70,52,44,44,36,65,66,74,80,44,46,90,47,Banned,26,Regulated,Regulated,
88,Lebanon,,,6825445,41,"We are all for the Country, the Sublime and the Flag",Lebanese,Republic,Hybrid Regime,23,6,President,28,38,20,34,Active,65,81,64,47,46,56,60,74,77,35,25,20,37,Regulated,26,Banned,Regulated,
2,Algeria,,,43851032,54,By the people and for the people,Algerian,Republic,Authoritarian Regime,34,5,President,53,53,60,56,Rare,52,57,47,52,36,58,67,74,81,44,33,42,41,Regulated,56,Banned,Regulated,
149,Suriname,Clifton Tempo,,586632,20,"Justice, piety, loyalty",Surinamer,Constitutional Monarchy,Flawed Democracy,36,5,President,20,26,20,26,Inactive,83,65,52,32,39,65,67,73,37,0,20,51,20,Banned,31,Regulated,Regulated,Male
144,Botswana,Ndiapo Mabogo,,2351627,32,Rain,Motswana,Parliamentary Republic,Flawed Democracy,60,5,President,29,36,20,32,Active,76,43,44,43,44,65,65,73,69,0,22,41,39,Banned,34,Legal,Banned,Male
37,Mongolia,,,3278290,34,None,Mongolian,Parliamentary,Flawed Democracy,34,4,President,30,36,20,31,Inactive,71,38,38,41,37,65,73,73,64,0,20,42,20,Banned,28,Regulated,Regulated,
34,Jamaica,,,2961167,34,"Out of many, One People",Jamaican,Parliamentary democracy,Flawed Democracy,45,5,Monarch,20,31,20,31,Active,90,81,60,41,38,70,68,73,65,0,41,48,28,Banned,22,Legal,Regulated,
134,Paraguay,Pablo Oviedo,,7132538,42,Peace and justice,Paraguayan,Constitutional Republic,Flawed Democracy,29,5,President,29,37,20,32,Inactive,66,41,40,44,39,65,63,72,74,21,63,42,23,Banned,20,Regulated,Banned,Male
84,Jordan,,,10203134,46,"God, Homeland,King",Jordanian,Constitutional Monarchy,Authoritarian Regime,50,2,Monarch,40,43,20,33,Active,57,26,32,46,37,65,66,72,71,25,28,54,39,Banned,75,Regulated,Regulated,
82,Libya,,,6871292,41,None,Libyan,transitional government,Authoritarian Regime,20,0,Presidential Council,41,43,20,32,Active,53,27,34,44,40,32,61,72,70,51,20,41,20,Legal,43,Banned,Banned,
76,Puerto Rico,,,2860853,33,None,Puertorriqueños,Commonwealth,Hybrid Regime,62,4,President,21,36,20,35,Active,75,57,63,50,69,80,63,72,74,0,41,50,45,Banned,26,Regulated,Regulated,
17,Uzbekistan,,,33469203,52,The Strength is in The Justice!,Uzbekistani,Republic,Authoritarian Regime,26,5,President,45,46,20,33,Inactive,49,37,35,46,33,65,72,72,75,0,36,49,26,Banned,49,Regulated,Banned,
168,Belize,Colville Gutteron,,397628,20,Under the shade I flourish,Belizean,Parliamentary democracy,Full Democracy,41,5,Monarch,22,24,20,23,Inactive,72,46,42,26,38,65,67,71,35,0,20,37,26,Banned,24,Regulated,Legal,Male
70,Venezuela,,,28435940,51,God and Federation,Venezuelan,Federal Republic,Authoritarian Regime,20,6,President,48,49,20,35,Inactive,45,22,29,50,35,40,70,71,74,0,32,43,37,Legal,44,Regulated,Banned,
53,South Africa,,,59308690,57,Diverse people unite or Unity in Diversity,South African,Republic,Flawed Democracy,46,5,President,53,64,20,48,Inactive,78,58,49,75,39,77,72,71,78,20,36,49,62,Banned,65,Banned,Regulated,
44,Philippines,,,10099265,45,"For God, for the people, for nature and for the country",Filipino,Republic,Flawed Democracy,34,6,President,46,51,20,38,Inactive,54,28,32,56,36,65,67,71,82,67,63,46,38,Regulated,75,Banned,Banned,
26,Indonesia,,,273523615,78,Unity in diversity,Indonesian,Republic,Flawed Democracy,40,5,President,68,69,40,55,Active,62,31,40,70,48,70,65,71,79,55,38,46,58,Banned,84,Regulated,Banned,
132,Palestine,Abdullatif Abdala,,4882765,36,"From the river to the sea, Palestine will be free",Palestinian,Parliamentary democracy,Authoritarian Regime,65,4,President,23,33,60,51,Inactive,56,68,52,42,35,65,67,70,37,47,36,49,20,Banned,68,Banned,Legal,Male
114,Gabon,Cedric Ondo,,2225734,32,"Union, Work, Justice",Gabonese,Republic,Authoritarian Regime,32,7,President,21,32,20,31,Inactive,61,45,43,42,41,56,65,70,68,20,20,25,25,Regulated,31,Regulated,Regulated,Male
71,Vietnam,,,97338579,60,"Independence, Liberty, Happiness",Vietnamese,Communist State,Authoritarian Regime,36,5,President,54,55,40,48,Active,31,38,37,55,35,65,63,70,78,20,36,47,44,Regulated,29,Regulated,Banned,
20,Egypt,,,102334404,69,None,Egyptian,Republic,Authoritarian Regime,35,6,President,71,64,60,58,Active,35,44,40,56,36,59,61,70,77,68,57,46,59,Banned,73,Banned,Banned,
171,Kyrgyzstan,Kubanychbek Yunusaliev,,6524195,41,None,Kyrgyz,Republic,Authoritarian Regime,29,5,President,32,35,20,29,Inactive,69,22,27,37,32,65,73,69,45,0,24,42,20,Banned,35,Regulated,Banned,Male
148,Guyana,Jermaine Scott,,786552,26,"One People, One Nation, One Destiny",Guyanese,Republic,Flawed Democracy,41,5,President,21,28,20,28,Active,74,35,37,35,38,65,60,68,38,0,35,59,21,Banned,25,Legal,Regulated,Male
38,Morocco,,,4992,20,"God, the Country, theKing",Moroccan,Constitutional Monarchy,Hybrid Regime,38,5,King,44,48,20,36,Rare,56,10,23,51,36,65,56,68,80,20,70,46,41,Banned,49,Regulated,Banned,
111,El Salvador,,,6486205,41,"God, Union, Libert",Salvadoran,Republic,Hybrid Regime,35,5,President,23,33,20,32,Rare,69,71,54,43,37,65,55,67,69,0,24,39,24,Banned,20,Regulated,Regulated,
28,Iraq,,,40222493,54,God is the Greatest,Iraqi,Parliamentary Democracy,Authoritarian Regime,25,4,President,52,52,20,36,Active,35,47,43,52,38,35,55,67,75,85,20,43,40,Legal,55,Banned,Banned,
129,Nicaragua,Carlos Palacio,,6624554,41,In God We Trust,Nicaraguan,Republic,Authoritarian Regime,24,5,President,24,33,20,31,Inactive,60,75,55,41,34,65,57,66,34,0,29,32,20,Banned,36,,Regulated,Male
116,Guatemala,Daniel Perez,,17915568,49,Grow Free and Fertile,Guatemalan,Democratic Republic,Hybrid Regime,26,4,President,32,40,20,34,Rare,61,35,36,48,37,65,51,66,74,0,24,35,27,Banned,24,Legal,Banned,Male
62,Tajikistan,,,9537645,44,"Independence, Freedom, Homeland!",Tajik,Republic,Authoritarian Regime,26,7,President,28,34,20,30,Rare,52,35,30,39,24,58,68,66,42,39,20,34,26,Regulated,29,Regulated,Regulated,
25,India,Hamid Vinkat,,1380004385,89,Truth alone triumphs,Indian,Federal Republic,Flawed Democracy,42,5,President,80,80,80,80,Active,53,27,31,80,35,65,55,65,83,74,59,40,74,Regulated,90,Banned,Banned,Male
140,Namibia,Mamadou Cisse,,2540905,32,"Unity, liberty, justice",Namibian,Republic,Flawed Democracy,56,5,President,23,32,20,31,Inactive,80,26,32,41,38,65,58,64,62,0,20,37,25,Banned,29,Legal,Legal,Male
95,Honduras,,,9904607,44,"Free, sovereign and independent",Honduran,Democratic Republic,Hybrid Regime,22,4,President,29,36,20,32,Inactive,43,35,35,43,35,50,49,63,45,0,20,35,26,Regulated,26,Regulated,Banned,
10,Bangladesh,,,164689383,70,Victory to Bengal,Bangladeshi,Parliamentary democracy,Hybrid Regime,26,5,President,48,52,40,48,Active,48,22,28,56,34,50,52,63,77,44,67,33,39,Regulated,78,Regulated,Banned,
146,São Tomé and Príncipe,Edgar Lopes,,219159,20,"Unity, Discipline, Work",Sao Tomean,Republic,Flawed Democracy,50,5,President,22,21,20,20,Inactive,52,23,29,20,35,65,56,62,60,0,23,20,28,Banned,24,Regulated,Regulated,Male
145,Eswatini,Mwandile Dube,,1160164,30,We are the fortress,Eswatinian,Constitutional Monarchy,Authoritarian Regime,33,5, King,22,27,20,26,Rare,53,83,60,31,36,50,55,61,38,0,20,37,24,Regulated,23,Regulated,Regulated,Male
121,Laos,Lembo Pinkeo,,7275560,42,"Peace, independence, democracy, unity and prosperity",Lao,Communist state,Authoritarian Regime,32,5,President,24,34,20,32,Inactive,31,25,31,43,36,50,48,61,62,0,20,32,20,Regulated,23,Regulated,Regulated,Male
24,Ghana,,,31072940,52,Freedom and Justice,Ghanaian,Constitutional Democracy,Flawed Democracy,44,4,President,31,40,20,34,Inactive,78,48,41,48,34,77,56,61,72,0,0,49,42,Banned,46,Regulated,Banned,
164,Monaco,Alberta ,,39242,20,With God's help,Monacan,Constitutional Monarchy,Hybrid Regime,39,5,President,26,31,20,28,Inactive,66,28,59,36,90,77,58,60,40,0,0,20,20,Banned,26,Banned,Regulated,Female
