159,Austria,2,2,3,3,3,3,2,3,,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,Azerbaijan,2,3,3,3,3,2,3,4,3,,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,4,2,4,3,3,4,3,3,3,3,3,3,1,3,3,2,3,2,3,3,4,3,2,2,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,2,2,1,1
9,Bahrain,3,3,3,3,3,2,3,3,3,3,,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
10,Bangladesh,2,3,3,3,3,2,3,3,3,3,2,,3,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
11,Belarus,3,3,3,3,3,3,3,4,3,3,1,3,,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,6,2,2,2,4,2,4,3,3,6,3,3,3,3,3,5,1,3,3,2,3,2,6,3,4,3,2,2,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,2,2,1,1
12,Belgium,3,2,3,3,3,3,3,3,2,2,1,4,2,,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,4,2,4,3,3,4,3,3,3,3,3,3,1,3,3,2,3,2,3,3,4,3,2,2,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,2,2,1,1
168,Belize,3,3,3,3,3,2,3,3,3,2,2,3,2,2,,2,3,3,3,3,3,3,3,3,5,3,3,6,3,3,3,2,2,2,2,4,2,4,3,3,4,3,4,3,3,3,3,1,3,3,2,3,2,6,3,4,6,2,2,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3
13,Benin,3,3,3,3,3,2,3,2,3,2,2,3,2,2,2,,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
14,Bolivia,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
155,Bosnia and Herzegovina,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
144,Botswana,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
15,Brazil,2,3,3,3,3,3,3,1,2,2,3,2,2,2,3,2,1,2,3,,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
153,Brunei,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,4,,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
156,Bulgaria,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
100,Burkina Faso,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
101,Burundi,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,1,3,3,1,3,2,,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
103,Cambodia,3,3,3,3,3,3,2,2,3,3,3,4,3,3,5,4,2,4,3,2,4,2,3,3,,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
102,Cameroon,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
16,Canada,2,3,3,3,2,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,2,,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
142,Central African Republic,3,3,3,3,3,2,2,4,2,3,2,3,3,3,6,3,4,3,2,4,3,4,3,3,3,3,3,,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
97,Chad,3,3,2,3,3,3,4,3,3,3,2,2,3,3,3,2,3,2,2,3,2,3,4,4,4,2,4,4,,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
98,Chile,3,3,3,3,3,3,2,2,3,3,5,3,3,3,3,3,2,3,5,2,3,2,3,3,3,3,3,3,3,,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
33,China,3,2,3,3,2,3,4,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,3,2,2,2,2,,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
18,Colombia,2,3,3,3,3,2,3,2,3,2,2,4,2,2,2,4,2,4,2,2,4,2,2,2,2,4,2,2,2,2,2,,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
19,Congo,3,3,3,3,3,2,3,5,3,3,2,3,3,3,2,3,5,3,2,5,3,5,2,2,2,3,2,2,2,2,2,2,,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
104,Costa Rica,3,3,3,3,3,2,4,3,3,3,2,2,3,3,2,2,3,2,2,3,2,3,5,5,5,2,5,5,5,5,5,5,5,,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
7,Croatia,3,1,3,3,3,2,3,3,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2,4,3,3,3,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,1,1,3,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
105,Cuba,3,3,1,3,2,4,3,3,3,2,4,2,6,2,4,2,3,2,4,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2,4,3,3,3,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,1,1,3,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3
106,Czech Republic,3,3,3,3,3,2,2,2,3,2,2,5,2,2,2,5,2,5,2,2,5,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2,4,3,3,3,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,1,1,3,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3
